policy,cost_weight,top_k_candidates,runs,test_scenarios_mean,test_scenarios_std,test_scenarios_ci95,test_scenarios_max,candidate_grid_size_mean,candidate_grid_size_std,candidate_grid_size_ci95,candidate_grid_size_max,candidate_ac_audits_mean,candidate_ac_audits_std,candidate_ac_audits_ci95,candidate_ac_audits_max,candidate_ac_audits_avoided_mean,candidate_ac_audits_avoided_std,candidate_ac_audits_avoided_ci95,candidate_ac_audits_avoided_max,audit_reduction_ratio_mean,audit_reduction_ratio_std,audit_reduction_ratio_ci95,audit_reduction_ratio_max,full_best_in_subset_rate_mean,full_best_in_subset_rate_std,full_best_in_subset_rate_ci95,full_best_in_subset_rate_max,same_action_as_full_rate_mean,same_action_as_full_rate_std,same_action_as_full_rate_ci95,same_action_as_full_rate_max,post_action_violating_scenarios_mean,post_action_violating_scenarios_std,post_action_violating_scenarios_ci95,post_action_violating_scenarios_max,full_post_action_violating_scenarios_mean,full_post_action_violating_scenarios_std,full_post_action_violating_scenarios_ci95,full_post_action_violating_scenarios_max,extra_violating_scenarios_vs_full_mean,extra_violating_scenarios_vs_full_std,extra_violating_scenarios_vs_full_ci95,extra_violating_scenarios_vs_full_max,post_action_violating_buses_mean,post_action_violating_buses_std,post_action_violating_buses_ci95,post_action_violating_buses_max,full_post_action_violating_buses_mean,full_post_action_violating_buses_std,full_post_action_violating_buses_ci95,full_post_action_violating_buses_max,extra_violating_buses_vs_full_mean,extra_violating_buses_vs_full_std,extra_violating_buses_vs_full_ci95,extra_violating_buses_vs_full_max,action_cost_proxy_mw_mean,action_cost_proxy_mw_std,action_cost_proxy_mw_ci95,action_cost_proxy_mw_max,full_action_cost_proxy_mw_mean,full_action_cost_proxy_mw_std,full_action_cost_proxy_mw_ci95,full_action_cost_proxy_mw_max,action_cost_delta_vs_full_mw_mean,action_cost_delta_vs_full_mw_std,action_cost_delta_vs_full_mw_ci95,action_cost_delta_vs_full_mw_max,accepted_pv_mw_mean,accepted_pv_mw_std,accepted_pv_mw_ci95,accepted_pv_mw_max,curtailed_pv_mw_mean,curtailed_pv_mw_std,curtailed_pv_mw_ci95,curtailed_pv_mw_max,relieved_load_mw_mean,relieved_load_mw_std,relieved_load_mw_ci95,relieved_load_mw_max
VoltGuard risk-cost candidate screening,0.0,1,3,120.0,0.0,0.0,120.0,9.0,0.0,0.0,9.0,120.0,0.0,0.0,120.0,960.0,0.0,0.0,960.0,0.8888888888888888,0.0,0.0,0.8888888888888888,0.7805555555555556,0.10715167512214392,0.12125353501274268,0.8583333333333333,0.7805555555555556,0.10715167512214392,0.12125353501274268,0.8583333333333333,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,0.0,0.0,0.0,0.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,0.0,0.0,0.0,0.0,72.67106276754855,5.330403246406794,6.031919108436346,77.89400458596992,58.96208965203427,0.8418803195251168,0.9526772650424177,59.69903230198919,13.708973115514269,5.14250321872857,5.819290210577256,18.194972283980732,218.27484728625754,26.105857201727154,29.541558418372485,237.1607847356227,4.242229216611833,2.641250513938842,2.9888563226308626,7.291900813863267,68.42883355093672,3.414627236000425,3.864014469618663,70.60210377210666
VoltGuard risk-cost candidate screening,0.02,1,3,120.0,0.0,0.0,120.0,9.0,0.0,0.0,9.0,120.0,0.0,0.0,120.0,960.0,0.0,0.0,960.0,0.8888888888888888,0.0,0.0,0.8888888888888888,0.7805555555555556,0.10715167512214392,0.12125353501274268,0.8583333333333333,0.7805555555555556,0.10715167512214392,0.12125353501274268,0.8583333333333333,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,0.0,0.0,0.0,0.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,0.0,0.0,0.0,0.0,72.49698036466312,5.328702853153802,6.029994932331753,77.89400458596992,58.96208965203427,0.8418803195251168,0.9526772650424177,59.69903230198919,13.534890712628837,5.093922354846976,5.764315787891829,18.194972283980732,218.15879235100056,25.980391985824678,29.399581161069037,236.81261992985185,4.35828415186879,2.544734943321722,2.879638672904365,7.291900813863267,68.13869621279433,3.221513698552682,3.645485930072618,70.60210377210666
VoltGuard risk-cost candidate screening,0.05,1,3,120.0,0.0,0.0,120.0,9.0,0.0,0.0,9.0,120.0,0.0,0.0,120.0,960.0,0.0,0.0,960.0,0.8888888888888888,0.0,0.0,0.8888888888888888,0.7833333333333332,0.1024017143953709,0.11587844844842726,0.8583333333333333,0.7833333333333332,0.1024017143953709,0.11587844844842726,0.8583333333333333,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,0.0,0.0,0.0,0.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,0.0,0.0,0.0,0.0,72.18198707238555,5.174773519828385,5.855807493949801,77.56121898490404,58.96208965203427,0.8418803195251168,0.9526772650424177,59.69903230198919,13.219897420351293,4.900489590055852,5.545426008600221,17.862186682914853,218.18226455957964,25.958484660707054,29.37479068896342,236.55025095452322,4.334811943289696,2.2894625099975205,2.5907707210353843,6.959115212797377,67.84717512909587,3.0982587002087945,3.5060097693859094,70.60210377210666
VoltGuard risk-cost candidate screening,0.1,1,3,120.0,0.0,0.0,120.0,9.0,0.0,0.0,9.0,120.0,0.0,0.0,120.0,960.0,0.0,0.0,960.0,0.8888888888888888,0.0,0.0,0.8888888888888888,0.8111111111111112,0.07561476438231224,0.08556616095884267,0.8666666666666667,0.8111111111111112,0.07561476438231224,0.08556616095884267,0.8666666666666667,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,0.0,0.0,0.0,0.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,0.0,0.0,0.0,0.0,70.12118421837911,3.2418086681515392,3.6684518501483647,73.38949849088709,58.96208965203427,0.8418803195251168,0.9526772650424177,59.69903230198919,11.159094566344839,3.0562641301734663,3.458488439809687,13.6904661888979,219.0393165369098,26.371082035357645,29.841688571393465,237.37754810939663,3.477759965959527,1.7931541905525448,2.0291449870434737,5.548042036746175,66.64342425241959,1.8662829933972236,2.111898017698939,67.84145645414092
VoltGuard risk-cost candidate screening,0.15,1,3,120.0,0.0,0.0,120.0,9.0,0.0,0.0,9.0,120.0,0.0,0.0,120.0,960.0,0.0,0.0,960.0,0.8888888888888888,0.0,0.0,0.8888888888888888,0.8277777777777778,0.055486067653994914,0.0627883963487632,0.875,0.8277777777777778,0.055486067653994914,0.0627883963487632,0.875,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,0.0,0.0,0.0,0.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,0.0,0.0,0.0,0.0,69.43384185042557,2.8540875899996974,3.2297041472191075,71.91784302032798,58.96208965203427,0.8418803195251168,0.9526772650424177,59.69903230198919,10.471752198391286,2.8580366560288137,3.234172936115625,12.218810718338787,219.72665890486337,26.374777651029934,29.84587055421177,237.37754810939663,2.790417598005978,1.1599550666851992,1.3126127251971973,4.076386566187064,66.64342425241959,1.8662829933972236,2.111898017698939,67.84145645414092
VoltGuard risk-cost candidate screening,0.2,1,3,120.0,0.0,0.0,120.0,9.0,0.0,0.0,9.0,120.0,0.0,0.0,120.0,960.0,0.0,0.0,960.0,0.8888888888888888,0.0,0.0,0.8888888888888888,0.8472222222222222,0.06254627916220942,0.07077777777777775,0.8833333333333333,0.8472222222222222,0.06254627916220942,0.07077777777777775,0.8833333333333333,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,0.0,0.0,0.0,0.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,0.0,0.0,0.0,0.0,68.39178285428808,2.718195260765824,3.0759275004057027,71.27707410055434,58.96208965203427,0.8418803195251168,0.9526772650424177,59.69903230198919,9.429693202253807,2.466346223676224,2.790933486062398,11.578041798565152,220.0822143545266,26.714130887928878,30.229884892252763,238.24048740197375,2.4348621483427353,1.249767449435767,1.4142450037780971,3.8726595097744365,65.95692070594535,1.7196004861039471,1.9459111349594216,67.40441459077991
VoltGuard risk-cost candidate screening,0.3,1,3,120.0,0.0,0.0,120.0,9.0,0.0,0.0,9.0,120.0,0.0,0.0,120.0,960.0,0.0,0.0,960.0,0.8888888888888888,0.0,0.0,0.8888888888888888,0.9027777777777778,0.03154949081000151,0.03570160974342199,0.925,0.9027777777777778,0.03154949081000151,0.03570160974342199,0.925,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,0.0,0.0,0.0,0.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,0.0,0.0,0.0,0.0,66.17009977142779,1.7171325536076634,1.9431184064369218,67.7544930575771,58.96208965203427,0.8418803195251168,0.9526772650424177,59.69903230198919,7.208010119393516,1.743429036575294,1.9728756782163217,8.365713070293737,222.30389743738692,27.22454124123232,30.807468579811516,239.84934000057135,0.21317906548244034,0.1870900147066089,0.21171228189296135,0.3500784667971829,65.95692070594535,1.7196004861039471,1.9459111349594216,67.40441459077991
VoltGuard risk-cost candidate screening,0.5,1,3,120.0,0.0,0.0,120.0,9.0,0.0,0.0,9.0,120.0,0.0,0.0,120.0,960.0,0.0,0.0,960.0,0.8888888888888888,0.0,0.0,0.8888888888888888,0.9555555555555556,0.034694433324435545,0.039260447221719,0.9833333333333333,0.9555555555555556,0.034694433324435545,0.039260447221719,0.9833333333333333,50.333333333333336,4.041451884327381,4.573333333333334,54.0,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,0.6666666666666666,1.1547005383792517,1.3066666666666669,2.0,382.3333333333333,35.21836642056717,39.85333333333334,407.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,1.0,1.7320508075688772,1.96,3.0,60.30671300871378,0.24373788002617994,0.2758153760638544,60.54667769343119,58.96208965203427,0.8418803195251168,0.9526772650424177,59.69903230198919,1.3446233566795034,1.0136900538154987,1.1470982818726398,2.502103190136907,222.4003836806036,27.057816859241782,30.618802180839,239.84934000057135,0.11669282226572764,0.20211789704284502,0.22871793164082616,0.3500784667971829,60.190020186448045,0.31253260794849635,0.3536639392460163,60.54667769343119
VoltGuard risk-cost candidate screening,0.8,1,3,120.0,0.0,0.0,120.0,9.0,0.0,0.0,9.0,120.0,0.0,0.0,120.0,960.0,0.0,0.0,960.0,0.8888888888888888,0.0,0.0,0.8888888888888888,0.9,0.022047927592204947,0.02494957878364849,0.925,0.9,0.022047927592204947,0.02494957878364849,0.925,58.666666666666664,2.0816659994661326,2.35562683330314,61.0,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,9.0,2.6457513110645907,2.9939494540378155,11.0,410.0,29.866369046136157,33.7969781686667,432.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,28.666666666666668,9.237604307034012,10.453333333333333,34.0,54.24522932197967,1.697550177953708,1.9209588623207623,55.94030731907279,58.96208965203427,0.8418803195251168,0.9526772650424177,59.69903230198919,-4.716860330054608,0.8835080835234823,0.9997835145128461,-3.758724982916405,222.51707650286934,27.1471830486408,30.719929544110713,239.84934000057135,0.0,0.0,0.0,0.0,54.24522932197967,1.697550177953708,1.9209588623207623,55.94030731907279
VoltGuard risk-cost candidate screening,1.0,1,3,120.0,0.0,0.0,120.0,9.0,0.0,0.0,9.0,120.0,0.0,0.0,120.0,960.0,0.0,0.0,960.0,0.8888888888888888,0.0,0.0,0.8888888888888888,0.8388888888888889,0.024056261216234453,0.027222222222222276,0.8666666666666667,0.8388888888888889,0.024056261216234453,0.027222222222222276,0.8666666666666667,61.0,2.6457513110645907,2.9939494540378155,64.0,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,11.333333333333334,3.7859388972001824,4.28419316921064,14.0,443.6666666666667,37.072002014098636,41.950919470786864,473.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,62.333333333333336,11.676186592091328,13.212848965222367,75.0,50.1017511055586,1.4060902367972004,1.591140890370746,51.71653865580183,58.96208965203427,0.8418803195251168,0.9526772650424177,59.69903230198919,-8.86033854647568,0.8602752224553495,0.973493057273052,-7.982493646187365,222.51707650286934,27.1471830486408,30.719929544110713,239.84934000057135,0.0,0.0,0.0,0.0,50.1017511055586,1.4060902367972004,1.591140890370746,51.71653865580183
