policy,top_k_candidates,test_scenarios,candidate_grid_size,candidate_ac_audits,candidate_ac_audits_avoided,audit_reduction_ratio,full_best_in_subset_rate,same_action_as_full_rate,post_action_violating_scenarios,full_post_action_violating_scenarios,extra_violating_scenarios_vs_full,post_action_violating_buses,full_post_action_violating_buses,extra_violating_buses_vs_full,action_cost_proxy_mw,full_action_cost_proxy_mw,action_cost_delta_vs_full_mw,accepted_pv_mw,curtailed_pv_mw,relieved_load_mw
Full AC grid search,9,120,9,1080,0,0.0,1.0,1.0,51,51,0,398,398,0,59.14266215081935,59.14266215081935,0.0,191.23095295448223,0.0,59.14266215081935
VoltGuard interval-risk,1,120,9,120,960,0.8888888888888888,0.7416666666666667,0.7416666666666667,51,51,0,398,398,0,73.69320669303477,59.14266215081935,14.55054454221542,188.9765069837147,2.2544459707675517,71.4387607222672
VoltGuard interval-risk,2,120,9,240,840,0.7777777777777778,0.85,0.85,51,51,0,398,398,0,68.08274716618891,59.14266215081935,8.940085015369561,189.3645517464103,1.8664012080719306,66.21634595811697
VoltGuard interval-risk,3,120,9,360,720,0.6666666666666666,0.9,0.9,51,51,0,398,398,0,66.37974857018834,59.14266215081935,7.2370864193689926,189.6973373474762,1.5336156070060403,64.8461329631823
VoltGuard interval-risk,5,120,9,600,480,0.4444444444444444,0.9333333333333333,0.9333333333333333,51,51,0,398,398,0,62.314830197966984,59.14266215081935,3.172168047147636,190.0571301341289,1.1738228203533354,61.14100737761365
VoltGuard interval-risk,9,120,9,1080,0,0.0,1.0,1.0,51,51,0,398,398,0,59.14266215081935,59.14266215081935,0.0,191.23095295448223,0.0,59.14266215081935
LinDistFlow point-risk,1,120,9,120,960,0.8888888888888888,0.9,0.9,57,51,6,412,398,14,62.31401646207147,59.14266215081935,3.1713543112521236,191.23095295448223,0.0,62.31401646207147
LinDistFlow point-risk,2,120,9,240,840,0.7777777777777778,0.9333333333333333,0.9333333333333333,53,51,2,402,398,4,63.540727766201925,59.14266215081935,4.398065615382578,191.23095295448223,0.0,63.540727766201925
LinDistFlow point-risk,3,120,9,360,720,0.6666666666666666,0.9416666666666667,0.9416666666666667,52,51,1,400,398,2,63.8050816740129,59.14266215081935,4.662419523193549,191.23095295448223,0.0,63.8050816740129
LinDistFlow point-risk,5,120,9,600,480,0.4444444444444444,0.9666666666666667,0.9666666666666667,51,51,0,398,398,0,61.14100737761365,59.14266215081935,1.9983452267942994,191.23095295448223,0.0,61.14100737761365
Cheapest-first,1,120,9,120,960,0.8888888888888888,0.25833333333333336,0.25833333333333336,93,51,42,921,398,523,0.0,59.14266215081935,-59.14266215081935,191.23095295448223,0.0,0.0
Cheapest-first,2,120,9,240,840,0.7777777777777778,0.25833333333333336,0.25833333333333336,93,51,42,921,398,523,0.0,59.14266215081935,-59.14266215081935,191.23095295448223,0.0,0.0
Cheapest-first,3,120,9,360,720,0.6666666666666666,0.36666666666666664,0.36666666666666664,81,51,30,826,398,428,10.000820903942216,59.14266215081935,-49.141841246877135,191.23095295448223,0.0,10.000820903942216
Cheapest-first,5,120,9,600,480,0.4444444444444444,0.45,0.45,72,51,21,638,398,240,26.148913778091902,59.14266215081935,-32.993748372727445,191.23095295448223,0.0,26.148913778091902
