split_name,seed,feeder,split,bus_rows,scenarios,violations,violation_rate,min_vm,max_vm
pv_penetration_shift,7,33,calib,2607,79,366,0.14039125431530494,0.9073682718650676,1.005489866198365
pv_penetration_shift,7,33,test,2046,62,123,0.060117302052785926,0.929804085425462,1.0277586518088746
pv_penetration_shift,7,33,train,5247,159,1831,0.34896131122546215,0.8962663882419087,1.0002353743891488
pv_penetration_shift,7,69,calib,5658,82,527,0.09314245316366207,0.8858005507161373,1.0162921159757836
pv_penetration_shift,7,69,test,4830,70,394,0.08157349896480331,0.8968437941479871,1.0307614239263108
pv_penetration_shift,7,69,train,10212,148,1211,0.11858597728162945,0.8797447312997618,1.0072914254988476
pv_penetration_shift,17,33,calib,2607,79,366,0.14039125431530494,0.9073682718650676,1.005489866198365
pv_penetration_shift,17,33,test,2046,62,123,0.060117302052785926,0.929804085425462,1.0277586518088746
pv_penetration_shift,17,33,train,5247,159,1831,0.34896131122546215,0.8962663882419087,1.0002353743891488
pv_penetration_shift,17,69,calib,5658,82,527,0.09314245316366207,0.8858005507161373,1.0162921159757836
pv_penetration_shift,17,69,test,4830,70,394,0.08157349896480331,0.8968437941479871,1.0307614239263108
pv_penetration_shift,17,69,train,10212,148,1211,0.11858597728162945,0.8797447312997618,1.0072914254988476
pv_penetration_shift,42,33,calib,2607,79,366,0.14039125431530494,0.9073682718650676,1.005489866198365
pv_penetration_shift,42,33,test,2046,62,123,0.060117302052785926,0.929804085425462,1.0277586518088746
pv_penetration_shift,42,33,train,5247,159,1831,0.34896131122546215,0.8962663882419087,1.0002353743891488
pv_penetration_shift,42,69,calib,5658,82,527,0.09314245316366207,0.8858005507161373,1.0162921159757836
pv_penetration_shift,42,69,test,4830,70,394,0.08157349896480331,0.8968437941479871,1.0307614239263108
pv_penetration_shift,42,69,train,10212,148,1211,0.11858597728162945,0.8797447312997618,1.0072914254988476
random_interpolation,7,33,calib,1980,60,419,0.21161616161616162,0.9090055797010296,1.0072811473493897
random_interpolation,7,33,test,1980,60,541,0.2732323232323232,0.898903069327162,1.0036291548963698
random_interpolation,7,33,train,5940,180,1360,0.22895622895622897,0.8962663882419087,1.0277586518088746
random_interpolation,7,69,calib,4140,60,455,0.10990338164251208,0.8822720520534515,1.0114114510745282
random_interpolation,7,69,test,4140,60,380,0.09178743961352658,0.8862233913323782,1.0098975721407035
random_interpolation,7,69,train,12420,180,1297,0.10442834138486312,0.8797447312997618,1.0307614239263108
random_interpolation,17,33,calib,1980,60,537,0.27121212121212124,0.8962663882419087,1.0085756189243464
random_interpolation,17,33,test,1980,60,445,0.22474747474747475,0.898903069327162,1.0084917634069992
random_interpolation,17,33,train,5940,180,1338,0.22525252525252526,0.898229995769529,1.0277586518088746
random_interpolation,17,69,calib,4140,60,425,0.10265700483091787,0.8797447312997618,1.012487700248967
random_interpolation,17,69,test,4140,60,431,0.10410628019323671,0.8816410706353608,1.022671112818319
random_interpolation,17,69,train,12420,180,1276,0.10273752012882448,0.883878905564722,1.0307614239263108
random_interpolation,42,33,calib,1980,60,461,0.23282828282828283,0.8962663882419087,1.0035400676351516
random_interpolation,42,33,test,1980,60,378,0.19090909090909092,0.9030851420427785,1.0086702219836
random_interpolation,42,33,train,5940,180,1481,0.2493265993265993,0.898229995769529,1.0277586518088746
random_interpolation,42,69,calib,4140,60,460,0.1111111111111111,0.8822720520534515,1.0162921159757836
random_interpolation,42,69,test,4140,60,416,0.10048309178743961,0.883878905564722,1.0307614239263108
random_interpolation,42,69,train,12420,180,1256,0.10112721417069243,0.8797447312997618,1.022671112818319
supplementary_118_random,7,118,calib,7080,60,226,0.03192090395480226,0.8555189644282831,1.0500000000000007
supplementary_118_random,7,118,test,7080,60,249,0.03516949152542373,0.8678584263431992,1.0500000000000007
supplementary_118_random,7,118,train,21240,180,754,0.03549905838041431,0.8201944222837865,1.0500000000000007
synthetic_time_block,7,33,calib,1980,60,428,0.21616161616161617,0.898903069327162,1.0085756189243464
synthetic_time_block,7,33,test,1980,60,518,0.26161616161616164,0.898229995769529,1.0106066735502732
synthetic_time_block,7,33,train,5940,180,1374,0.2313131313131313,0.8962663882419087,1.0277586518088746
synthetic_time_block,7,69,calib,4140,60,381,0.09202898550724638,0.883878905564722,1.0131945399883246
synthetic_time_block,7,69,test,4140,60,434,0.10483091787439613,0.8862233913323782,1.0307614239263108
