cycle,day,hour,feeder,scenario_id,telemetry_age_min,stale_telemetry,unseen_topology,out_of_envelope,operator_override,residual_alarm,voltage_violation,screen_risk_flag,queue,reason_code
0,1,0,33,3,6.355739546326137,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
1,1,0,33,11,9.785654389502103,True,False,False,False,False,False,False,corrective_audit,stale_telemetry
2,1,0,33,13,4.592255085537695,False,True,False,False,False,True,True,corrective_audit,interval_limit_intersection;unseen_topology
3,1,0,33,17,6.204245206518344,True,False,False,False,False,False,False,corrective_audit,stale_telemetry
4,1,0,33,18,0.2528145159925626,False,False,False,False,False,False,False,release,valid_low_risk
5,1,0,33,22,3.4225270942949666,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
6,1,1,33,27,2.751078748123087,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
7,1,1,33,31,1.4239682269204839,False,False,False,False,False,False,False,release,valid_low_risk
8,1,1,33,38,6.114930073226307,True,True,False,False,False,False,False,corrective_audit,stale_telemetry;unseen_topology
9,1,1,33,47,3.7692706858460396,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
10,1,1,33,52,1.0807244748845515,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
11,1,1,33,59,2.7392742598502484,False,False,True,False,False,True,True,corrective_audit,interval_limit_intersection;out_of_envelope_forecast
12,1,2,33,72,4.978652453181518,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
13,1,2,33,84,2.980424353415129,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
14,1,2,33,86,2.431112598266807,False,False,False,False,False,False,False,release,valid_low_risk
15,1,2,33,94,7.139920553149606,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
16,1,2,33,95,2.744182870815919,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
17,1,2,33,104,3.546364001136356,False,False,False,False,False,False,False,release,valid_low_risk
18,1,3,33,105,3.4943716567818064,False,False,False,False,False,False,False,release,valid_low_risk
19,1,3,33,112,2.5516368803291667,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
20,1,3,33,116,2.8970644547333184,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
21,1,3,33,122,4.69452038245285,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
22,1,3,33,124,0.8452242077377441,False,False,False,True,False,True,True,corrective_audit,interval_limit_intersection;operator_override
23,1,3,33,128,3.968144550530988,False,False,False,False,False,False,False,watch,near_limit_margin
24,1,4,33,131,1.983473966626897,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
25,1,4,33,133,4.086656877415456,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
26,1,4,33,134,8.509573151546732,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
27,1,4,33,135,6.855624354768468,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
28,1,4,33,136,0.25824261124458403,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
29,1,4,33,137,1.2245393456153755,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
30,1,5,33,139,2.203840099162398,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
31,1,5,33,141,2.1624986077812656,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
32,1,5,33,143,1.6856722051547028,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
33,1,5,33,149,3.753696145860063,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
