variant,family,calibration_samples,test_samples,group_q,q_used
topology+PV+loading,feeder=33|pv_bin=0.2|load_bin=high_load,198,330,0.0003851104690361273,0.0003443839745227773
topology+PV+loading,feeder=33|pv_bin=0.2|load_bin=low_load,198,264,8.034353759403788e-05,0.00014188782544380512
topology+PV+loading,feeder=33|pv_bin=0.4|load_bin=high_load,231,264,0.00042883251473710475,0.0003789572883471469
topology+PV+loading,feeder=33|pv_bin=0.4|load_bin=low_load,297,429,0.00017872132529213973,0.00020013799785994943
topology+PV+loading,feeder=33|pv_bin=0.6|load_bin=high_load,396,165,0.0003734469111373365,0.0003513296942520558
topology+PV+loading,feeder=33|pv_bin=0.6|load_bin=low_load,231,330,0.0001450211520827381,0.00018088953978775507
topology+PV+loading,feeder=33|pv_bin=0.8|load_bin=high_load,231,99,0.0004483742658933762,0.0003925951871903454
topology+PV+loading,feeder=33|pv_bin=0.8|load_bin=low_load,198,99,0.0003159655354594182,0.0002984420387906015
topology+PV+loading,feeder=69|pv_bin=0.2|load_bin=high_load,1104,759,0.00013364207789541525,0.00014444801124183793
topology+PV+loading,feeder=69|pv_bin=0.2|load_bin=low_load,621,690,5.695978848769187e-05,8.564019443757432e-05
topology+PV+loading,feeder=69|pv_bin=0.4|load_bin=high_load,276,276,0.0003699855988060884,0.00034173025747105006
topology+PV+loading,feeder=69|pv_bin=0.4|load_bin=low_load,414,483,7.395241163897078e-05,0.00011087713999449091
topology+PV+loading,feeder=69|pv_bin=0.6|load_bin=high_load,345,69,0.00031780713692788865,0.0003056584579297888
topology+PV+loading,feeder=69|pv_bin=0.6|load_bin=low_load,621,828,0.0002417088754790113,0.0002447652749113737
topology+PV+loading,feeder=69|pv_bin=0.8|load_bin=high_load,483,276,0.00043133467155237183,0.00040258867564053175
topology+PV+loading,feeder=69|pv_bin=0.8|load_bin=low_load,276,759,0.00017665714441919347,0.00019981894520832932
topology+PV+loading+EV,feeder=33|pv_bin=0.2|load_bin=high_load|ev_bin=ev_0.0,66,99,0.0003456484343080454,0.0002963093265238881
topology+PV+loading+EV,feeder=33|pv_bin=0.2|load_bin=high_load|ev_bin=ev_0.2,66,33,7.875856722326866e-05,0.0001901964878034347
topology+PV+loading+EV,feeder=33|pv_bin=0.2|load_bin=high_load|ev_bin=ev_0.3,66,33,0.0005397029081311848,0.00037346351491140137
topology+PV+loading+EV,feeder=33|pv_bin=0.2|load_bin=low_load|ev_bin=ev_0.0,66,99,6.593316377451028e-05,0.00018509723101055485
topology+PV+loading+EV,feeder=33|pv_bin=0.2|load_bin=low_load|ev_bin=ev_0.1,33,99,0.00014358010229451518,0.0002339300369500258
topology+PV+loading+EV,feeder=33|pv_bin=0.2|load_bin=low_load|ev_bin=ev_0.2,33,33,5.570514371577179e-05,0.00021212647579890902
topology+PV+loading+EV,feeder=33|pv_bin=0.2|load_bin=low_load|ev_bin=ev_0.3,66,33,8.026353941608041e-05,0.00019079485024154057
topology+PV+loading+EV,feeder=33|pv_bin=0.4|load_bin=high_load|ev_bin=ev_0.0,132,99,0.0003023910530067455,0.00028573349368760705
topology+PV+loading+EV,feeder=33|pv_bin=0.4|load_bin=high_load|ev_bin=ev_0.1,33,66,0.0004192527696837212,0.0003023300220917085
topology+PV+loading+EV,feeder=33|pv_bin=0.4|load_bin=high_load|ev_bin=ev_0.2,33,66,0.0005541792719293243,0.00033580802640828674
topology+PV+loading+EV,feeder=33|pv_bin=0.4|load_bin=high_load|ev_bin=ev_0.3,33,33,0.0005195044792245577,0.0003272045064138709
topology+PV+loading+EV,feeder=33|pv_bin=0.4|load_bin=low_load|ev_bin=ev_0.0,132,66,0.0001128125855557273,0.0001778698828965105
