population,pv_curtail,scenarios,available_pv_mw,accepted_pv_mw,curtailed_pv_mw,overvoltage_scenarios,overvoltage_buses,violation_scenarios,violating_buses,max_voltage,mean_voltage,overvoltage_scenario_reduction,overvoltage_bus_reduction,overvoltage_scenario_reduction_ratio,overvoltage_bus_reduction_ratio,curtailed_pv_share,bus_reduction_per_curtailed_mw,feeder
all_converged,0.0,270,1167.029775,1167.029775,0.0,132,2262,132,2262,1.245517735950434,1.0604114881668032,0,0,0.0,0.0,0.0,,
all_converged,0.1,270,1167.029775,1050.3267974999999,116.70297749999999,116,1933,116,1933,1.224058651847629,1.0544143228294847,16,329,0.12121212121212122,0.14544650751547303,0.09999999999999999,2.819122588367551,
all_converged,0.2,270,1167.029775,933.6238199999999,233.40595499999998,101,1545,101,1545,1.201829107540639,1.048516895417392,31,717,0.23484848484848486,0.3169761273209549,0.19999999999999998,3.0719010575372856,
all_converged,0.3,270,1167.029775,816.9208424999998,350.1089324999999,82,1177,83,1178,1.178754188596636,1.0427208584716872,50,1085,0.3787878787878788,0.4796640141467728,0.29999999999999993,3.0990354694820597,
all_converged,0.4,270,1167.029775,700.2178649999998,466.81190999999995,64,799,67,806,1.1547456188369272,1.0371858439681159,68,1463,0.5151515151515151,0.6467727674624226,0.39999999999999997,3.134024579621373,
all_converged,0.5,270,1167.029775,583.5148875,583.5148875,43,552,47,569,1.1296981844587306,1.031970257340014,89,1710,0.6742424242424242,0.7559681697612732,0.5,2.9305164900355694,
initial_overvoltage_only,0.0,132,784.7894049999999,784.7894049999999,0.0,132,2262,132,2262,1.245517735950434,1.093161535757513,0,0,0.0,0.0,0.0,,
initial_overvoltage_only,0.1,132,784.7894049999999,706.3104645,78.4789405,116,1933,116,1933,1.224058651847629,1.0840953569256726,16,329,0.12121212121212122,0.14544650751547303,0.1,4.1922074623318855,
initial_overvoltage_only,0.2,132,784.7894049999999,627.831524,156.957881,101,1545,101,1545,1.201829107540639,1.074923676790341,31,717,0.23484848484848486,0.3169761273209549,0.2,4.5681044840303375,
initial_overvoltage_only,0.3,132,784.7894049999999,549.3525834999999,235.43682149999995,82,1177,82,1177,1.178754188596636,1.0657101064369345,50,1085,0.3787878787878788,0.4796640141467728,0.3,4.6084550117832785,
initial_overvoltage_only,0.4,132,784.7894049999999,470.8736429999999,313.915762,64,799,65,801,1.1547456188369272,1.0565160283762343,68,1463,0.5151515151515151,0.6467727674624226,0.4,4.6604859554647025,
initial_overvoltage_only,0.5,132,784.7894049999999,392.39470249999994,392.39470249999994,43,552,44,557,1.1296981844587306,1.0473989792845055,89,1710,0.6742424242424242,0.7559681697612732,0.5,4.357856997317644,
initial_overvoltage_by_feeder,0.0,70,411.9935,411.9935,0.0,70,1084,70,1084,1.245517735950434,1.1023511171108744,0,0,0.0,0.0,0.0,,33
initial_overvoltage_by_feeder,0.1,70,411.9935,370.79415,41.19935,61,921,61,921,1.224058651847629,1.0917420239494289,9,163,0.12857142857142856,0.1503690036900369,0.1,3.956373098119266,33
initial_overvoltage_by_feeder,0.2,70,411.9935,329.5948,82.3987,55,732,55,732,1.201829107540639,1.0810114961209467,15,352,0.21428571428571427,0.3247232472324723,0.2,4.271912056864974,33
initial_overvoltage_by_feeder,0.3,70,411.9935,288.39545,123.59804999999999,46,559,46,559,1.178754188596636,1.0702247435206713,24,525,0.34285714285714286,0.4843173431734317,0.3,4.2476398292691515,33
initial_overvoltage_by_feeder,0.4,70,411.9935,247.19609999999997,164.7974,35,348,35,348,1.1547456188369272,1.0594062778057873,35,736,0.5,0.6789667896678967,0.4,4.466089877631564,33
initial_overvoltage_by_feeder,0.5,70,411.9935,205.99675,205.99675,22,222,22,222,1.1296981844587306,1.048746896581288,48,862,0.6857142857142857,0.7952029520295203,0.5,4.184532037520009,33
initial_overvoltage_by_feeder,0.0,62,372.79590499999995,372.79590499999995,0.0,62,1178,62,1178,1.1650348084609516,1.0827862019714598,0,0,0.0,0.0,0.0,,69
initial_overvoltage_by_feeder,0.1,62,372.79590499999995,335.51631449999996,37.2795905,55,1012,55,1012,1.1510726768370154,1.0754620231891736,7,166,0.11290322580645161,0.14091680814940577,0.1,4.452838611518547,69
initial_overvoltage_by_feeder,0.2,62,372.79590499999995,298.236724,74.559181,46,813,46,813,1.1368452613016224,1.0680503323848185,16,365,0.25806451612903225,0.3098471986417657,0.2,4.895440039771897,69
initial_overvoltage_by_feeder,0.3,62,372.79590499999995,260.95713349999994,111.83877149999998,36,618,36,618,1.1223371799801078,1.0606129355359415,26,560,0.41935483870967744,0.47538200339558573,0.3,5.0072080772096115,69
initial_overvoltage_by_feeder,0.4,62,372.79590499999995,223.67754299999996,149.118362,29,451,30,453,1.1075315098424663,1.0532528435364166,33,727,0.532258064516129,0.6171477079796265,0.4,4.875321793033108,69
initial_overvoltage_by_feeder,0.5,62,372.79590499999995,186.39795249999997,186.39795249999997,21,330,22,335,1.0924095417335096,1.0458771371752353,41,848,0.6612903225806451,0.7198641765704584,0.5,4.549406195864733,69
