scenario_id,feeder,slack_vm,load_scale,pv_penetration,replicate,initial_overvoltage_scenario,pv_curtail,available_pv_mw,accepted_pv_mw,curtailed_pv_mw,post_min_vm_pu,post_max_vm_pu,post_undervoltage_buses,post_overvoltage_buses,post_violating_buses,post_overvoltage_scenario,post_violation_scenario
0,33,1.0,0.3,1.0,0,0,0.0,1.1145,1.1145,0.0,0.9902107375225578,1.0000194676905938,0,0,0,0,0
0,33,1.0,0.3,1.0,0,0,0.1,1.1145,1.00305,0.11145000000000001,0.9888432878076729,1.0,0,0,0,0,0
0,33,1.0,0.3,1.0,0,0,0.2,1.1145,0.8916000000000001,0.22290000000000001,0.9874709591891314,1.0,0,0,0,0,0
0,33,1.0,0.3,1.0,0,0,0.3,1.1145,0.78015,0.33435,0.9860937025772246,1.0,0,0,0,0,0
0,33,1.0,0.3,1.0,0,0,0.4,1.1145,0.6687,0.44580000000000003,0.984711468029759,1.0,0,0,0,0,0
0,33,1.0,0.3,1.0,0,0,0.5,1.1145,0.55725,0.55725,0.9833242047308629,1.0,0,0,0,0,0
1,33,1.0,0.3,1.0,1,0,0.0,1.1145,1.1145,0.0,0.9908350744656219,1.0024302857320608,0,0,0,0,0
1,33,1.0,0.3,1.0,1,0,0.1,1.1145,1.00305,0.11145000000000001,0.9894127113010536,1.0,0,0,0,0,0
1,33,1.0,0.3,1.0,1,0,0.2,1.1145,0.8916000000000001,0.22290000000000001,0.9879838935684853,1.0,0,0,0,0,0
1,33,1.0,0.3,1.0,1,0,0.3,1.1145,0.78015,0.33435,0.9865485382524487,1.0,0,0,0,0,0
1,33,1.0,0.3,1.0,1,0,0.4,1.1145,0.6687,0.44580000000000003,0.9851065604569287,1.0,0,0,0,0,0
1,33,1.0,0.3,1.0,1,0,0.5,1.1145,0.55725,0.55725,0.9836578733438748,1.0,0,0,0,0,0
2,33,1.0,0.3,1.0,2,0,0.0,1.1145,1.1145,0.0,0.9860930476075471,1.003735040718082,0,0,0,0,0
2,33,1.0,0.3,1.0,2,0,0.1,1.1145,1.00305,0.11145000000000001,0.9851422495162185,1.0010408911503823,0,0,0,0,0
2,33,1.0,0.3,1.0,2,0,0.2,1.1145,0.8916000000000001,0.22290000000000001,0.9841855928910365,1.0,0,0,0,0,0
2,33,1.0,0.3,1.0,2,0,0.3,1.1145,0.78015,0.33435,0.9832229916898859,1.0,0,0,0,0,0
2,33,1.0,0.3,1.0,2,0,0.4,1.1145,0.6687,0.44580000000000003,0.982254357626432,1.0,0,0,0,0,0
2,33,1.0,0.3,1.0,2,0,0.5,1.1145,0.55725,0.55725,0.9812796000867754,1.0,0,0,0,0,0
3,33,1.0,0.3,1.5,0,0,0.0,1.67175,1.67175,0.0,0.9942617598910622,1.0021121377427324,0,0,0,0,0
3,33,1.0,0.3,1.5,0,0,0.1,1.67175,1.504575,0.16717500000000002,0.9924062533247588,1.0016564741995266,0,0,0,0,0
3,33,1.0,0.3,1.5,0,0,0.2,1.67175,1.3374000000000001,0.33435000000000004,0.9905426014383065,1.0012000091615276,0,0,0,0,0
3,33,1.0,0.3,1.5,0,0,0.3,1.67175,1.170225,0.501525,0.9886706994106447,1.0007427371891302,0,0,0,0,0
