scenario_id,feeder,slack_vm,load_scale,pv_penetration,replicate,converged,available_pv_mw,pre_min_vm_pu,pre_max_vm_pu,pre_undervoltage_buses,pre_overvoltage_buses,pre_overvoltage_scenario,selected_pv_curtail,post_min_vm_pu,post_max_vm_pu,post_undervoltage_buses,post_overvoltage_buses,post_overvoltage_scenario,accepted_pv_mw,curtailed_pv_mw
0,33,1.0,0.3,1.0,0,True,1.1145,0.9902107375225578,1.0000194676905938,0,0,0,0.0,0.9902107375225578,1.0000194676905938,0,0,0,1.1145,0.0
1,33,1.0,0.3,1.0,1,True,1.1145,0.9908350744656219,1.0024302857320608,0,0,0,0.0,0.9908350744656219,1.0024302857320608,0,0,0,1.1145,0.0
2,33,1.0,0.3,1.0,2,True,1.1145,0.9860930476075471,1.003735040718082,0,0,0,0.0,0.9860930476075471,1.003735040718082,0,0,0,1.1145,0.0
3,33,1.0,0.3,1.5,0,True,1.67175,0.9942617598910622,1.0021121377427324,0,0,0,0.0,0.9942617598910622,1.0021121377427324,0,0,0,1.67175,0.0
4,33,1.0,0.3,1.5,1,True,1.67175,0.9910074298216184,1.0080169565224462,0,0,0,0.0,0.9910074298216184,1.0080169565224462,0,0,0,1.67175,0.0
5,33,1.0,0.3,1.5,2,True,1.67175,0.9963124279908759,1.0025521878521395,0,0,0,0.0,0.9963124279908759,1.0025521878521395,0,0,0,1.67175,0.0
6,33,1.0,0.3,2.0,0,True,2.229,0.9982776590512478,1.035193671734974,0,0,0,0.0,0.9982776590512478,1.035193671734974,0,0,0,2.229,0.0
7,33,1.0,0.3,2.0,1,True,2.229,0.998368337509513,1.009310923575903,0,0,0,0.0,0.998368337509513,1.009310923575903,0,0,0,2.229,0.0
8,33,1.0,0.3,2.0,2,True,2.229,0.9987795338077655,1.0255932944480297,0,0,0,0.0,0.9987795338077655,1.0255932944480297,0,0,0,2.229,0.0
9,33,1.0,0.3,3.0,0,True,3.3435,0.9996257893982757,1.0224494788344454,0,0,0,0.0,0.9996257893982757,1.0224494788344454,0,0,0,3.3435,0.0
10,33,1.0,0.3,3.0,1,True,3.3435,1.0,1.0340682535141266,0,0,0,0.0,1.0,1.0340682535141266,0,0,0,3.3435,0.0
11,33,1.0,0.3,3.0,2,True,3.3435,1.0,1.049362305446192,0,0,0,0.0,1.0,1.049362305446192,0,0,0,3.3435,0.0
12,33,1.0,0.3,4.0,0,True,4.458,1.0,1.0731394871412923,0,9,1,0.3,1.0,1.045621128497707,0,0,0,3.1206,1.3374
13,33,1.0,0.3,4.0,1,True,4.458,1.0,1.0889424442966729,0,10,1,0.4,0.9996576443757363,1.0463260416678097,0,0,0,2.6748,1.7832000000000001
14,33,1.0,0.3,4.0,2,True,4.458,0.9999409310615689,1.0824215553771472,0,13,1,0.4,0.9990238324101777,1.0421080874487376,0,0,0,2.6748,1.7832000000000001
15,33,1.0,0.5,1.0,0,True,1.8575,0.978265222285867,1.0041951545042735,0,0,0,0.0,0.978265222285867,1.0041951545042735,0,0,0,1.8575,0.0
16,33,1.0,0.5,1.0,1,True,1.8575,0.9912808696579576,1.004521740843767,0,0,0,0.0,0.9912808696579576,1.004521740843767,0,0,0,1.8575,0.0
17,33,1.0,0.5,1.0,2,True,1.8575,0.9764458830264281,1.0002674279729917,0,0,0,0.0,0.9764458830264281,1.0002674279729917,0,0,0,1.8575,0.0
18,33,1.0,0.5,1.5,0,True,2.78625,0.9787528094026539,1.0137161228363525,0,0,0,0.0,0.9787528094026539,1.0137161228363525,0,0,0,2.78625,0.0
19,33,1.0,0.5,1.5,1,True,2.78625,0.9962214265242224,1.0355999389190718,0,0,0,0.0,0.9962214265242224,1.0355999389190718,0,0,0,2.78625,0.0
20,33,1.0,0.5,1.5,2,True,2.78625,0.9919532117663128,1.0199374766809646,0,0,0,0.0,0.9919532117663128,1.0199374766809646,0,0,0,2.78625,0.0
21,33,1.0,0.5,2.0,0,True,3.715,0.9924698229506128,1.0289072875471872,0,0,0,0.0,0.9924698229506128,1.0289072875471872,0,0,0,3.715,0.0
22,33,1.0,0.5,2.0,1,True,3.715,0.9929393990883795,1.02901276394853,0,0,0,0.0,0.9929393990883795,1.02901276394853,0,0,0,3.715,0.0
23,33,1.0,0.5,2.0,2,True,3.715,0.9984477736750724,1.0299447516898752,0,0,0,0.0,0.9984477736750724,1.0299447516898752,0,0,0,3.715,0.0
24,33,1.0,0.5,3.0,0,True,5.5725,1.0,1.0573976021999862,0,6,1,0.1,1.0,1.0485506026882994,0,0,0,5.01525,0.55725
25,33,1.0,0.5,3.0,1,True,5.5725,0.9996262284846509,1.0957484188363917,0,9,1,0.4,0.9981654359251508,1.0452836575657907,0,0,0,3.3434999999999997,2.229
26,33,1.0,0.5,3.0,2,True,5.5725,1.0,1.071080865952726,0,6,1,0.3,0.9977200138669685,1.03980013452752,0,0,0,3.9007499999999995,1.6717499999999998
27,33,1.0,0.5,4.0,0,True,7.43,1.0,1.1189810963314406,0,11,1,0.5,1.0,1.0447925563369058,0,0,0,3.715,3.715
28,33,1.0,0.5,4.0,1,True,7.43,1.0,1.1245061279780582,0,14,1,0.5,0.9956452331519833,1.0476261805693492,0,0,0,3.715,3.715
29,33,1.0,0.5,4.0,2,True,7.43,0.9996486758079652,1.1508372214011142,0,21,1,0.5,0.9979114651195908,1.0636180553502148,0,6,1,3.715,3.715
30,33,1.0,0.7,1.0,0,True,2.6005,0.9742630953242075,1.001351776029398,0,0,0,0.0,0.9742630953242075,1.001351776029398,0,0,0,2.6005,0.0
31,33,1.0,0.7,1.0,1,True,2.6005,0.9864340312718334,1.0195518755054522,0,0,0,0.0,0.9864340312718334,1.0195518755054522,0,0,0,2.6005,0.0
32,33,1.0,0.7,1.0,2,True,2.6005,0.9830612483573035,1.0167123241273475,0,0,0,0.0,0.9830612483573035,1.0167123241273475,0,0,0,2.6005,0.0
33,33,1.0,0.7,1.5,0,True,3.9007499999999995,0.9916762445322004,1.0381115733647057,0,0,0,0.0,0.9916762445322004,1.0381115733647057,0,0,0,3.9007499999999995,0.0
34,33,1.0,0.7,1.5,1,True,3.9007499999999995,0.9734154549910623,1.0086736684397797,0,0,0,0.0,0.9734154549910623,1.0086736684397797,0,0,0,3.9007499999999995,0.0
35,33,1.0,0.7,1.5,2,True,3.9007499999999995,0.9779379220996253,1.027475588347208,0,0,0,0.0,0.9779379220996253,1.027475588347208,0,0,0,3.9007499999999995,0.0
36,33,1.0,0.7,2.0,0,True,5.201,1.0,1.0304017663176819,0,0,0,0.0,1.0,1.0304017663176819,0,0,0,5.201,0.0
37,33,1.0,0.7,2.0,1,True,5.201,0.9971162744932495,1.0535976040179387,0,2,1,0.1,0.9968424267261727,1.0433200947314618,0,0,0,4.680899999999999,0.5201
38,33,1.0,0.7,2.0,2,True,5.201,0.9969900857088912,1.1036286158690989,0,10,1,0.4,0.9914601858474458,1.0443489481926314,0,0,0,3.1205999999999996,2.0804
39,33,1.0,0.7,3.0,0,True,7.801499999999999,1.0,1.1551377788893278,0,19,1,0.5,0.991509615539298,1.058827653005405,0,5,1,3.9007499999999995,3.9007499999999995
40,33,1.0,0.7,3.0,1,True,7.801499999999999,1.0,1.088623586890873,0,10,1,0.3,1.0,1.0491528209528969,0,0,0,5.461049999999999,2.3404499999999997
41,33,1.0,0.7,3.0,2,True,7.801499999999999,0.9982623328589738,1.134004401646273,0,20,1,0.5,0.9916002324847163,1.0462971774279157,0,0,0,3.9007499999999995,3.9007499999999995
42,33,1.0,0.7,4.0,0,True,10.402,1.0,1.2181101688980422,0,21,1,0.5,0.9950256119233998,1.0963382686360938,0,10,1,5.201,5.201
43,33,1.0,0.7,4.0,1,True,10.402,0.9993117214953341,1.217778220960323,0,16,1,0.5,0.9970132184610562,1.0959344166592186,0,9,1,5.201,5.201
44,33,1.0,0.7,4.0,2,True,10.402,1.0,1.1223571236663006,0,21,1,0.5,0.9958621501951542,1.038858714332039,0,0,0,5.201,5.201
45,33,1.02,0.3,1.0,0,True,1.1145,1.010833332344511,1.02,0,0,0,0.0,1.010833332344511,1.02,0,0,0,1.1145,0.0
46,33,1.02,0.3,1.0,1,True,1.1145,1.011066133727091,1.026593361220628,0,0,0,0.0,1.011066133727091,1.026593361220628,0,0,0,1.1145,0.0
47,33,1.02,0.3,1.0,2,True,1.1145,1.0101076757797052,1.0217189909855122,0,0,0,0.0,1.0101076757797052,1.0217189909855122,0,0,0,1.1145,0.0
48,33,1.02,0.3,1.5,0,True,1.67175,1.016629802548524,1.0304554173384763,0,0,0,0.0,1.016629802548524,1.0304554173384763,0,0,0,1.67175,0.0
49,33,1.02,0.3,1.5,1,True,1.67175,1.0160600794634966,1.0248170427770724,0,0,0,0.0,1.0160600794634966,1.0248170427770724,0,0,0,1.67175,0.0
50,33,1.02,0.3,1.5,2,True,1.67175,1.0185064624797613,1.0459211148599925,0,0,0,0.0,1.0185064624797613,1.0459211148599925,0,0,0,1.67175,0.0
51,33,1.02,0.3,2.0,0,True,2.229,1.016605906220188,1.035886034439739,0,0,0,0.0,1.016605906220188,1.035886034439739,0,0,0,2.229,0.0
52,33,1.02,0.3,2.0,1,True,2.229,1.0183736888075918,1.0404904739821241,0,0,0,0.0,1.0183736888075918,1.0404904739821241,0,0,0,2.229,0.0
53,33,1.02,0.3,2.0,2,True,2.229,1.0184195889154646,1.036933648082784,0,0,0,0.0,1.0184195889154646,1.036933648082784,0,0,0,2.229,0.0
54,33,1.02,0.3,3.0,0,True,3.3435,1.02,1.0641097356232863,0,6,1,0.3,1.0187010744316316,1.0445604723142639,0,0,0,2.34045,1.00305
55,33,1.02,0.3,3.0,1,True,3.3435,1.02,1.066494641670872,0,8,1,0.3,1.017868455668098,1.0462529120448518,0,0,0,2.34045,1.00305
56,33,1.02,0.3,3.0,2,True,3.3435,1.0198378073226768,1.0627201955942471,0,9,1,0.3,1.019174733313198,1.0439537075024592,0,0,0,2.34045,1.00305
57,33,1.02,0.3,4.0,0,True,4.458,1.02,1.0434325034019316,0,0,0,0.0,1.02,1.0434325034019316,0,0,0,4.458,0.0
58,33,1.02,0.3,4.0,1,True,4.458,1.02,1.0741961294500246,0,14,1,0.4,1.0187940888583529,1.044615559560929,0,0,0,2.6748,1.7832000000000001
59,33,1.02,0.3,4.0,2,True,4.458,1.02,1.0823333608951062,0,16,1,0.4,1.0187726639964463,1.049543473185966,0,0,0,2.6748,1.7832000000000001
60,33,1.02,0.5,1.0,0,True,1.8575,1.010685892402647,1.0200264380072557,0,0,0,0.0,1.010685892402647,1.0200264380072557,0,0,0,1.8575,0.0
61,33,1.02,0.5,1.0,1,True,1.8575,1.0083320381981724,1.02,0,0,0,0.0,1.0083320381981724,1.02,0,0,0,1.8575,0.0
62,33,1.02,0.5,1.0,2,True,1.8575,1.0076575891729886,1.0226224292090342,0,0,0,0.0,1.0076575891729886,1.0226224292090342,0,0,0,1.8575,0.0
63,33,1.02,0.5,1.5,0,True,2.78625,1.0043152616517572,1.0450344926506159,0,0,0,0.0,1.0043152616517572,1.0450344926506159,0,0,0,2.78625,0.0
64,33,1.02,0.5,1.5,1,True,2.78625,1.0142361978157755,1.0521705544253417,0,3,1,0.1,1.0134060925882857,1.0453759760705288,0,0,0,2.507625,0.278625
65,33,1.02,0.5,1.5,2,True,2.78625,1.0163285367255603,1.044398481180851,0,0,0,0.0,1.0163285367255603,1.044398481180851,0,0,0,2.78625,0.0
66,33,1.02,0.5,2.0,0,True,3.715,1.018639779111993,1.0353047013377095,0,0,0,0.0,1.018639779111993,1.0353047013377095,0,0,0,3.715,0.0
67,33,1.02,0.5,2.0,1,True,3.715,1.016948501694301,1.0748163695111124,0,10,1,0.3,1.0112387062611095,1.0484150225273665,0,0,0,2.6005,1.1144999999999998
68,33,1.02,0.5,2.0,2,True,3.715,1.0179920006205663,1.0598404521467895,0,7,1,0.2,1.016026178106205,1.0447707556744106,0,0,0,2.972,0.743
69,33,1.02,0.5,3.0,0,True,5.5725,1.0196077420011387,1.1086765675015469,0,16,1,0.5,1.0142880305883728,1.0478193212804734,0,0,0,2.78625,2.78625
70,33,1.02,0.5,3.0,1,True,5.5725,1.0137957418619208,1.0393009408935847,0,0,0,0.0,1.0137957418619208,1.0393009408935847,0,0,0,5.5725,0.0
71,33,1.02,0.5,3.0,2,True,5.5725,1.0187911426594898,1.0631509353194948,0,10,1,0.2,1.0162589924232992,1.0480393220680482,0,0,0,4.458,1.1145
72,33,1.02,0.5,4.0,0,True,7.43,1.02,1.140079401340569,0,22,1,0.5,1.018459534483828,1.066479463682494,0,9,1,3.715,3.715
