method,conformal_variant,precision,recall,f1,false_alarm_rate,missed_violations
LinDistFlow physical backbone,none,1.0,0.9163952225841476,0.9563739376770538,0.0,77
Random forest,none,0.9989047097480832,0.990228013029316,0.9945474372955289,0.00019234468166955183,9
Gradient boosting,none,1.0,0.9728555917480999,0.9862410566868465,0.0,25
Boosting point + global conformal,global,0.9860365198711063,0.996742671009772,0.9913606911447084,0.002500480861704174,3
VoltGuard topology-aware residual,global,0.9935205183585313,0.998914223669924,0.9962100703844071,0.001154068090017311,1
VoltGuard topology-aware residual,pv_conditioned,0.9967497291440953,0.998914223669924,0.9978308026030369,0.0005770340450086555,1
VoltGuard topology-aware residual,topology_conditioned,0.9913793103448276,0.998914223669924,0.9951325040562466,0.0015387574533564147,1
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.9967497291440953,0.998914223669924,0.9978308026030369,0.0005770340450086555,1
VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,0.9978308026030369,0.998914223669924,0.9983722192078134,0.00038468936333910367,1
Neural graph residual ablation,topology_conditioned,0.8836538461538461,0.997828447339848,0.9372768995410505,0.023273706482015773,2
