method,conformal_variant,mae,rmse,max_abs_error,coverage,avg_width
LinDistFlow physical backbone,none,0.000921602503118454,0.0013986906434149203,0.0066059391731750905,,
Random forest,none,0.0001373196892080341,0.00023334803831768784,0.0022397751553818734,,
Gradient boosting,none,0.0002871706248397758,0.0004145545321376299,0.00587799314880133,,
Boosting point + global conformal,global,0.0002871706248397758,0.0004145545321376299,0.00587799314880133,0.9084967320261438,0.0010963713147436255
VoltGuard topology-aware residual,global,6.772327532079158e-05,0.00011446658923916485,0.0008267977104926549,0.9498366013071895,0.000527491030772676
VoltGuard topology-aware residual,pv_conditioned,6.772327532079158e-05,0.00011446658923916485,0.0008267977104926549,0.9450980392156862,0.0004894217993790325
VoltGuard topology-aware residual,topology_conditioned,6.772327532079158e-05,0.00011446658923916485,0.0008267977104926549,0.9552287581699347,0.0005267087976024618
VoltGuard topology-aware residual,topology_pv_loading_conditioned,6.772327532079158e-05,0.00011446658923916485,0.0008267977104926549,0.9366013071895425,0.000433404174920454
VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,6.772327532079158e-05,0.00011446658923916485,0.0008267977104926549,0.9125816993464052,0.00041735037796906694
Neural graph residual ablation,topology_conditioned,0.001300437359272533,0.0017109061663356864,0.009661935917266828,0.9133986928104575,0.0053979856988462
