split_name,seed,primary_method,primary_variant,baseline_method,baseline_variant,delta_rmse,delta_coverage,delta_avg_width,delta_recall,delta_false_alarm_rate,delta_missed_violations
random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,Boosting point + global conformal,global,-0.00030008794289850004,0.028104575163398593,-0.0006629671398231999,0.0021715526601520097,-0.0019234468166955,-2
synthetic_time_block,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,Boosting point + global conformal,global,-0.0007505077024523,0.04428104575163405,-0.000588461017088,0.0010504201680672232,-0.0013544891640867,-1
pv_penetration_shift,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,Boosting point + global conformal,global,-0.0014514418281522,-0.028359511343804544,-0.00045116885261200005,0.0019342359767892114,-0.0003145148608272,-1
topology_heldout_33_to_69,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,Boosting point + global conformal,global,-0.000568934718586,-0.0032206119162639935,-0.0008843016720523002,0.0,-0.0013443269403119,0
random_interpolation,17,VoltGuard topology-aware residual,topology_pv_loading_conditioned,Boosting point + global conformal,global,-0.0006476779113714,0.006699346405228734,-0.0008502961148010999,0.0011415525114155667,0.0013348588863463,-1
synthetic_time_block,17,VoltGuard topology-aware residual,topology_pv_loading_conditioned,Boosting point + global conformal,global,-0.0007380855596819,0.04052287581699343,-0.0005649744063428001,0.0010504201680672232,-0.0009674922600618999,-1
pv_penetration_shift,17,VoltGuard topology-aware residual,topology_pv_loading_conditioned,Boosting point + global conformal,global,-0.0014525333558309999,-0.026759744037230915,-0.0004319810672343999,0.0,-0.0001572574304136,0
topology_heldout_33_to_69,17,VoltGuard topology-aware residual,topology_pv_loading_conditioned,Boosting point + global conformal,global,-0.0006133711182847,0.005797101449275255,-0.0007533537601154003,0.0,-0.001346015793252,0
random_interpolation,42,VoltGuard topology-aware residual,topology_pv_loading_conditioned,Boosting point + global conformal,global,-0.0008247736833144,0.023039215686274428,-0.000825808344119,0.0012594458438287548,-0.0015020653398423,-1
synthetic_time_block,42,VoltGuard topology-aware residual,topology_pv_loading_conditioned,Boosting point + global conformal,global,-0.0007323770941844001,0.03594771241830064,-0.0005956402522732,0.0021008403361343353,-0.0009674922600620001,-2
pv_penetration_shift,42,VoltGuard topology-aware residual,topology_pv_loading_conditioned,Boosting point + global conformal,global,-0.0014568214526252,-0.024432809773123898,-0.0004456689507262,0.0,0.0,0
topology_heldout_33_to_69,42,VoltGuard topology-aware residual,topology_pv_loading_conditioned,Boosting point + global conformal,global,-0.0006394272558235999,0.004669887278582974,-0.0006901156543766,0.0,-0.0011669658886894001,0
supplementary_118_random,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,Boosting point + global conformal,global,0.0010613874311215998,0.020903954802259817,0.00206372609519,0.05622489959839361,0.008637095593617299,-14
