method,conformal_variant,target_fraction,protocol,target_calibration_scenarios_mean,target_test_scenarios_mean,coverage_mean,coverage_std,coverage_ci95,avg_width_mean,avg_width_std,avg_width_ci95,recall_mean,recall_std,recall_ci95,false_alarm_rate_mean,false_alarm_rate_std,false_alarm_rate_ci95,missed_violations_mean,missed_violations_std,missed_violations_ci95,scenario_recall_mean,scenario_recall_std,scenario_recall_ci95,scenario_false_alarm_rate_mean,scenario_false_alarm_rate_std,scenario_false_alarm_rate_ci95,missed_risky_scenarios_mean,missed_risky_scenarios_std,missed_risky_scenarios_ci95
Boosting point + global conformal,global,0.0,source_only,0.0,132.0,0.7956660849331006,0.0020515904566122934,0.0023215931526882707,0.0012537894763990302,1.2187317940605732e-05,1.3791248535668219e-05,0.9974210186976143,0.0011167316618754459,0.001263700838168879,0.0016249934476070661,0.00024021469282150445,0.00027182851442504575,1.3333333333333333,0.5773502691896257,0.6533333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boosting point + global conformal,global,0.1,source_plus_target_high_pv,16.0,116.0,0.8193619361936194,0.007923083643577956,0.008965813169886042,0.0013666400613884654,3.3363796621309e-05,3.775469004258133e-05,0.9970674218217875,0.0012342597515706956,0.001396696391645753,0.0017836359569854295,0.00035734351563674005,0.00040437225489423664,1.3333333333333333,0.5773502691896257,0.6533333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boosting point + global conformal,global,0.2,source_plus_target_high_pv,29.0,103.0,0.8077709611451942,0.009177538611041083,0.010385362599662197,0.0013617050533009502,2.5529278038649544e-05,2.8889097673748986e-05,0.9975302451031475,4.8154756339716165e-05,5.44922366095721e-05,0.0018763464970654705,0.000614345737801111,0.0006951976471061425,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boosting point + global conformal,global,0.4,source_plus_target_high_pv,55.0,77.0,0.8191021491992365,0.01075168157779136,0.012166673056230808,0.0014655731627736493,2.93595982057171e-05,3.322351297764524e-05,0.9989868287740628,0.0017548640400900323,0.0019858156028368617,0.002064713226202651,0.0001565175658316945,0.00017711629918103425,0.3333333333333333,0.5773502691896258,0.6533333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VoltGuard topology-aware residual,global,0.0,source_only,0.0,132.0,0.7691487298817141,0.00046750294555907625,0.0005290293848723322,0.0008108498528748677,5.5291762183259386e-06,6.256851900972821e-06,0.9980657640232108,0.0,0.0,0.0014677360171934791,9.079261978135328e-05,0.00010274152120354348,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VoltGuard topology-aware residual,global,0.1,source_plus_target_high_pv,16.0,116.0,0.8084708470847085,0.014357700082147392,0.016247267134448552,0.0009324385358926166,2.8423572328538558e-05,3.216429998501657e-05,0.9985198546467693,0.0012822436942418309,0.0014509953343929537,0.0015457421844549846,0.00010215781161107905,0.00011560244646561995,0.6666666666666666,0.5773502691896258,0.6533333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VoltGuard topology-aware residual,global,0.2,source_plus_target_high_pv,29.0,103.0,0.7950052673979054,0.010824794378903014,0.012249407979220726,0.0009270670612560021,2.722873064861342e-05,3.08122093405508e-05,0.9991869918699187,0.001408171388267381,0.0015934959349593512,0.0016082046544732941,0.0003472519013278878,0.0003929525182682001,0.3333333333333333,0.5773502691896258,0.6533333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VoltGuard topology-aware residual,global,0.4,source_plus_target_high_pv,55.0,77.0,0.8055763007219318,0.010494019869732614,0.011875101385475957,0.0010056158158689638,1.798679767706507e-05,2.0353977662197194e-05,1.0,0.0,0.0,0.002152622010188771,0.0004553567630005526,0.0005152846854035439,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.0,source_only,0.0,132.0,0.7691487298817141,0.00046750294555907625,0.0005290293848723322,0.0008108498528748677,5.5291762183259386e-06,6.256851900972821e-06,0.9980657640232108,0.0,0.0,0.0014677360171934791,9.079261978135328e-05,0.00010274152120354348,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,source_plus_target_high_pv,16.0,116.0,0.8952695269526952,0.023606205116694888,0.026712935802191858,0.0018893271816915237,0.0002797640435901584,0.000316582817917658,1.0,0.0,0.0,0.003983874442015825,0.0005502310074826526,0.0006226449997617134,0.0,0.0,0.0,1.0,0.0,0.0,0.026153846153846156,0.022662953634855747,0.025645546268163306,0.0,0.0,0.0
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.2,source_plus_target_high_pv,29.0,103.0,0.8878973786949248,0.019871312815051053,0.022486507293725134,0.0017617663268944142,0.00016981813449048447,0.00019216730949626814,1.0,0.0,0.0,0.0032167322629938822,5.046470930158894e-06,5.710619445970323e-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.4,source_plus_target_high_pv,55.0,77.0,0.8845738942826321,0.007682324736376499,0.008693368818916221,0.0018168129044119463,3.849428165373005e-05,4.356038039508294e-05,1.0,0.0,0.0,0.004038986743436186,0.00025696367346684823,0.0002907817702541583,0.0,0.0,0.0,1.0,0.0,0.0,0.04907212885154061,0.015457275711442687,0.017491554094161813,0.0,0.0,0.0
