method,conformal_variant,risk_stratum,bus_samples,violating_buses,safe_buses,coverage,avg_width,risk_flag_rate,violation_recall,false_alarm_rate,missed_violations,false_alarm_buses,mean_true_severity,max_true_severity
Boosting point + global conformal,global,violating,921,921,0,0.5950054288816504,0.001096371314743608,0.996742671009772,0.996742671009772,,3,0,0.018145822451206585,0.0637766086676218
Boosting point + global conformal,global,boundary_safe,55,0,55,0.7818181818181819,0.001096371314743597,0.23636363636363636,,0.23636363636363636,0,13,0.0,0.0
Boosting point + global conformal,global,near_safe,343,0,343,0.9096209912536443,0.001096371314743603,0.0,,0.0,0,0,0.0,0.0
Boosting point + global conformal,global,interior_safe,4801,0,4801,0.9700062486981879,0.0010963713147436338,0.0,,0.0,0,0,0.0,0.0
Neural graph residual ablation,topology_conditioned,violating,921,921,0,0.741585233441911,0.006113140937443579,0.997828447339848,0.997828447339848,,2,0,0.018145822451206585,0.0637766086676218
Neural graph residual ablation,topology_conditioned,boundary_safe,55,0,55,0.9090909090909091,0.006640039287921685,0.8181818181818182,,0.8181818181818182,0,45,0.0,0.0
Neural graph residual ablation,topology_conditioned,near_safe,343,0,343,0.8717201166180758,0.006140954740744645,0.22157434402332363,,0.22157434402332363,0,76,0.0,0.0
Neural graph residual ablation,topology_conditioned,interior_safe,4801,0,4801,0.949385544678192,0.0051934846983216236,0.0,,0.0,0,0,0.0,0.0
VoltGuard topology-aware residual,global,violating,921,921,0,0.8490770901194354,0.0005274910307726562,0.998914223669924,0.998914223669924,,1,0,0.018145822451206585,0.0637766086676218
VoltGuard topology-aware residual,global,boundary_safe,55,0,55,0.9272727272727272,0.0005274910307726392,0.10909090909090909,,0.10909090909090909,0,6,0.0,0.0
VoltGuard topology-aware residual,global,near_safe,343,0,343,0.9154518950437318,0.0005274910307726471,0.0,,0.0,0,0,0.0,0.0
VoltGuard topology-aware residual,global,interior_safe,4801,0,4801,0.9718808581545512,0.0005274910307726874,0.0,,0.0,0,0,0.0,0.0
VoltGuard topology-aware residual,pv_conditioned,violating,921,921,0,0.761129207383279,0.0004193929256456563,0.998914223669924,0.998914223669924,,1,0,0.018145822451206585,0.0637766086676218
VoltGuard topology-aware residual,pv_conditioned,boundary_safe,55,0,55,0.9090909090909091,0.0004563929178781749,0.05454545454545454,,0.05454545454545454,0,3,0.0,0.0
VoltGuard topology-aware residual,pv_conditioned,near_safe,343,0,343,0.9037900874635568,0.00048499443251874986,0.0,,0.0,0,0,0.0,0.0
VoltGuard topology-aware residual,pv_conditioned,interior_safe,4801,0,4801,0.9837533847115184,0.0005035504742434479,0.0,,0.0,0,0,0.0,0.0
VoltGuard topology-aware residual,topology_conditioned,violating,921,921,0,0.9077090119435396,0.0005814822905047105,0.998914223669924,0.998914223669924,,1,0,0.018145822451206585,0.0637766086676218
VoltGuard topology-aware residual,topology_conditioned,boundary_safe,55,0,55,0.9272727272727272,0.0006218372533190897,0.14545454545454545,,0.14545454545454545,0,8,0.0,0.0
VoltGuard topology-aware residual,topology_conditioned,near_safe,343,0,343,0.9212827988338192,0.0005836125401001335,0.0,,0.0,0,0,0.0,0.0
VoltGuard topology-aware residual,topology_conditioned,interior_safe,4801,0,4801,0.9670901895438451,0.0005110461365518286,0.0,,0.0,0,0,0.0,0.0
VoltGuard topology-aware residual,topology_pv_loading_conditioned,violating,921,921,0,0.8718783930510315,0.0005230320108886283,0.998914223669924,0.998914223669924,,1,0,0.018145822451206585,0.0637766086676218
VoltGuard topology-aware residual,topology_pv_loading_conditioned,boundary_safe,55,0,55,0.9272727272727272,0.00043559668893997246,0.05454545454545454,,0.05454545454545454,0,3,0.0,0.0
VoltGuard topology-aware residual,topology_pv_loading_conditioned,near_safe,343,0,343,0.9037900874635568,0.00043456637511056896,0.0,,0.0,0,0,0.0,0.0
VoltGuard topology-aware residual,topology_pv_loading_conditioned,interior_safe,4801,0,4801,0.9514684440741512,0.00041610226701314706,0.0,,0.0,0,0,0.0,0.0
VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,violating,921,921,0,0.8295331161780674,0.0005383111817256255,0.998914223669924,0.998914223669924,,1,0,0.018145822451206585,0.0637766086676218
VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,boundary_safe,55,0,55,0.8181818181818182,0.0004025208623215497,0.03636363636363636,,0.03636363636363636,0,2,0.0,0.0
VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,near_safe,343,0,343,0.8600583090379009,0.0004117573271348509,0.0,,0.0,0,0,0.0,0.0
VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,interior_safe,4801,0,4801,0.9333472193293064,0.0003947153310073855,0.0,,0.0,0,0,0.0,0.0
