split_name,seed,train_rows,calib_rows,test_rows,model_fit_seconds,total_seconds
random_interpolation,7,18360,6120,6120,1.8584117089922074,4.4676032080024015
synthetic_time_block,7,18360,6120,6120,1.7546638330095448,1.8486538750003092
pv_penetration_shift,7,15459,8265,6876,1.5010492090077605,1.5716070829948876
topology_heldout_33_to_69,7,9900,8280,12420,1.5455401670187712,1.6390282089996617
random_interpolation,17,18360,6120,6120,1.8395231250033248,1.9407049159926828
synthetic_time_block,17,18360,6120,6120,1.9085238330007996,2.007048917002976
pv_penetration_shift,17,15459,8265,6876,1.5479156250075903,1.6133287499833386
topology_heldout_33_to_69,17,9900,8280,12420,1.9327382920018863,2.0231966249994002
random_interpolation,42,18360,6120,6120,1.7865175420010928,1.8852401250042021
synthetic_time_block,42,18360,6120,6120,1.9015393330191728,1.9941710000275634
pv_penetration_shift,42,15459,8265,6876,1.546312249993207,1.6109569580003154
topology_heldout_33_to_69,42,9900,8280,12420,2.171236709022196,2.264187041000696
supplementary_118_random,7,21240,7080,7080,2.4260727090004366,2.50828104102402
