split_name,seed,method,scenario_precision,scenario_recall,scenario_f1,scenario_false_alarm_rate,missed_risky_scenarios,test_scenarios,conformal_variant
random_interpolation,7,LinDistFlow physical backbone,1.0,0.978494623655914,0.9891304347826086,0.0,2,120,
random_interpolation,7,Random forest,1.0,1.0,1.0,0.0,0,120,
random_interpolation,7,Gradient boosting,1.0,1.0,1.0,0.0,0,120,
random_interpolation,7,Boosting point + global conformal,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120,global
random_interpolation,7,VoltGuard topology-aware residual,1.0,1.0,1.0,0.0,0,120,global
random_interpolation,7,VoltGuard topology-aware residual,1.0,1.0,1.0,0.0,0,120,pv_conditioned
random_interpolation,7,VoltGuard topology-aware residual,1.0,1.0,1.0,0.0,0,120,topology_conditioned
random_interpolation,7,VoltGuard topology-aware residual,1.0,1.0,1.0,0.0,0,120,topology_pv_loading_conditioned
random_interpolation,7,VoltGuard topology-aware residual,1.0,1.0,1.0,0.0,0,120,topology_pv_loading_no_shrinkage
random_interpolation,7,Neural graph residual ablation,0.9029126213592233,1.0,0.9489795918367347,0.37037037037037035,0,120,topology_conditioned
synthetic_time_block,7,LinDistFlow physical backbone,1.0,0.9801980198019802,0.99,0.0,2,120,
synthetic_time_block,7,Random forest,0.9805825242718447,1.0,0.9901960784313726,0.10526315789473684,0,120,
synthetic_time_block,7,Gradient boosting,0.9901960784313726,1.0,0.9950738916256158,0.05263157894736842,0,120,
synthetic_time_block,7,Boosting point + global conformal,0.9805825242718447,1.0,0.9901960784313726,0.10526315789473684,0,120,global
synthetic_time_block,7,VoltGuard topology-aware residual,0.9805825242718447,1.0,0.9901960784313726,0.10526315789473684,0,120,global
synthetic_time_block,7,VoltGuard topology-aware residual,0.9805825242718447,1.0,0.9901960784313726,0.10526315789473684,0,120,pv_conditioned
synthetic_time_block,7,VoltGuard topology-aware residual,0.9805825242718447,1.0,0.9901960784313726,0.10526315789473684,0,120,topology_conditioned
synthetic_time_block,7,VoltGuard topology-aware residual,0.9805825242718447,1.0,0.9901960784313726,0.10526315789473684,0,120,topology_pv_loading_conditioned
synthetic_time_block,7,VoltGuard topology-aware residual,0.9805825242718447,1.0,0.9901960784313726,0.10526315789473684,0,120,topology_pv_loading_no_shrinkage
pv_penetration_shift,7,LinDistFlow physical backbone,1.0,0.96,0.9795918367346939,0.0,3,132,
pv_penetration_shift,7,Random forest,1.0,1.0,1.0,0.0,0,132,
pv_penetration_shift,7,Gradient boosting,1.0,1.0,1.0,0.0,0,132,
pv_penetration_shift,7,Boosting point + global conformal,1.0,1.0,1.0,0.0,0,132,global
pv_penetration_shift,7,VoltGuard topology-aware residual,1.0,1.0,1.0,0.0,0,132,global
pv_penetration_shift,7,VoltGuard topology-aware residual,1.0,1.0,1.0,0.0,0,132,pv_conditioned
pv_penetration_shift,7,VoltGuard topology-aware residual,1.0,1.0,1.0,0.0,0,132,topology_conditioned
pv_penetration_shift,7,VoltGuard topology-aware residual,1.0,1.0,1.0,0.0,0,132,topology_pv_loading_conditioned
pv_penetration_shift,7,VoltGuard topology-aware residual,1.0,1.0,1.0,0.0,0,132,topology_pv_loading_no_shrinkage
topology_heldout_33_to_69,7,LinDistFlow physical backbone,1.0,0.9693251533742331,0.9844236760124611,0.0,5,180,
topology_heldout_33_to_69,7,Random forest,1.0,0.9938650306748467,0.9969230769230769,0.0,1,180,
topology_heldout_33_to_69,7,Gradient boosting,1.0,0.9938650306748467,0.9969230769230769,0.0,1,180,
topology_heldout_33_to_69,7,Boosting point + global conformal,1.0,1.0,1.0,0.0,0,180,global
topology_heldout_33_to_69,7,VoltGuard topology-aware residual,1.0,1.0,1.0,0.0,0,180,global
topology_heldout_33_to_69,7,VoltGuard topology-aware residual,1.0,1.0,1.0,0.0,0,180,pv_conditioned
topology_heldout_33_to_69,7,VoltGuard topology-aware residual,1.0,1.0,1.0,0.0,0,180,topology_conditioned
topology_heldout_33_to_69,7,VoltGuard topology-aware residual,1.0,1.0,1.0,0.0,0,180,topology_pv_loading_conditioned
topology_heldout_33_to_69,7,VoltGuard topology-aware residual,1.0,1.0,1.0,0.0,0,180,topology_pv_loading_no_shrinkage
random_interpolation,17,LinDistFlow physical backbone,1.0,0.989010989010989,0.994475138121547,0.0,1,120,
random_interpolation,17,Random forest,1.0,1.0,1.0,0.0,0,120,
random_interpolation,17,Gradient boosting,1.0,1.0,1.0,0.0,0,120,
random_interpolation,17,Boosting point + global conformal,1.0,1.0,1.0,0.0,0,120,global
random_interpolation,17,VoltGuard topology-aware residual,1.0,1.0,1.0,0.0,0,120,global
random_interpolation,17,VoltGuard topology-aware residual,1.0,1.0,1.0,0.0,0,120,pv_conditioned
random_interpolation,17,VoltGuard topology-aware residual,1.0,1.0,1.0,0.0,0,120,topology_conditioned
random_interpolation,17,VoltGuard topology-aware residual,1.0,1.0,1.0,0.0,0,120,topology_pv_loading_conditioned
random_interpolation,17,VoltGuard topology-aware residual,1.0,1.0,1.0,0.0,0,120,topology_pv_loading_no_shrinkage
synthetic_time_block,17,LinDistFlow physical backbone,1.0,0.9801980198019802,0.99,0.0,2,120,
synthetic_time_block,17,Random forest,0.9805825242718447,1.0,0.9901960784313726,0.10526315789473684,0,120,
synthetic_time_block,17,Gradient boosting,0.9901960784313726,1.0,0.9950738916256158,0.05263157894736842,0,120,
synthetic_time_block,17,Boosting point + global conformal,0.9805825242718447,1.0,0.9901960784313726,0.10526315789473684,0,120,global
synthetic_time_block,17,VoltGuard topology-aware residual,0.9805825242718447,1.0,0.9901960784313726,0.10526315789473684,0,120,global
synthetic_time_block,17,VoltGuard topology-aware residual,0.9805825242718447,1.0,0.9901960784313726,0.10526315789473684,0,120,pv_conditioned
synthetic_time_block,17,VoltGuard topology-aware residual,0.9805825242718447,1.0,0.9901960784313726,0.10526315789473684,0,120,topology_conditioned
synthetic_time_block,17,VoltGuard topology-aware residual,0.9805825242718447,1.0,0.9901960784313726,0.10526315789473684,0,120,topology_pv_loading_conditioned
synthetic_time_block,17,VoltGuard topology-aware residual,0.9805825242718447,1.0,0.9901960784313726,0.10526315789473684,0,120,topology_pv_loading_no_shrinkage
pv_penetration_shift,17,LinDistFlow physical backbone,1.0,0.96,0.9795918367346939,0.0,3,132,
pv_penetration_shift,17,Random forest,1.0,1.0,1.0,0.0,0,132,
pv_penetration_shift,17,Gradient boosting,1.0,1.0,1.0,0.0,0,132,
pv_penetration_shift,17,Boosting point + global conformal,1.0,1.0,1.0,0.0,0,132,global
pv_penetration_shift,17,VoltGuard topology-aware residual,1.0,1.0,1.0,0.0,0,132,global
pv_penetration_shift,17,VoltGuard topology-aware residual,1.0,1.0,1.0,0.0,0,132,pv_conditioned
pv_penetration_shift,17,VoltGuard topology-aware residual,1.0,1.0,1.0,0.0,0,132,topology_conditioned
pv_penetration_shift,17,VoltGuard topology-aware residual,1.0,1.0,1.0,0.0,0,132,topology_pv_loading_conditioned
pv_penetration_shift,17,VoltGuard topology-aware residual,1.0,1.0,1.0,0.0,0,132,topology_pv_loading_no_shrinkage
