method,variant,protocol,alpha,nominal_coverage,test_scenarios,actual_risky_scenarios,released_scenarios,release_ratio,released_clean_scenarios,released_risky_scenarios,safe_release_precision,released_risky_share,released_violation_severity,released_severity_share,max_released_severity,released_bus_severity,released_bus_severity_share,released_violating_buses,flagged_for_ac,ac_calls_avoided,mean_interval_width,released_available_pv_mw,released_load_mw,released_risky_available_pv_mw,released_risky_load_mw
LinDistFlow physical backbone,point_only,point_gate,,,120,93,29,0.24166666666666667,27,2,0.9310344827586207,0.021505376344086023,0.0012996498343910146,0.0006134377902894917,0.0009202685623123097,0.004197540841942793,0.0002511647241652436,6,91,29,0.0,54.168601852661894,85.4378117513215,3.739359224474874,6.232265374124789
Boosting point + global conformal,point_only,point_gate,,,120,93,27,0.225,27,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,93,27,0.0,50.42924262818701,79.20554637719671,0.0,0.0
VoltGuard topology-aware residual,point_only,point_gate,,,120,93,27,0.225,27,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,93,27,0.0,50.42924262818701,79.20554637719671,0.0,0.0
Boosting point + global conformal,global,conformal_interval,0.05,0.95,120,93,26,0.21666666666666667,26,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,94,26,0.0016100889157828634,49.20078608923701,76.13440502982172,0.0,0.0
VoltGuard topology-aware residual,topology_pv_loading_conditioned,conformal_interval,0.05,0.95,120,93,26,0.21666666666666667,26,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,94,26,0.0006110543410621572,49.20078608923701,76.13440502982172,0.0,0.0
Boosting point + global conformal,global,conformal_interval,0.1,0.9,120,93,26,0.21666666666666667,26,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,94,26,0.0010963713147436201,49.20078608923701,76.13440502982172,0.0,0.0
VoltGuard topology-aware residual,topology_pv_loading_conditioned,conformal_interval,0.1,0.9,120,93,27,0.225,27,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,93,27,0.00045817743515701284,50.42924262818701,79.20554637719671,0.0,0.0
Boosting point + global conformal,global,conformal_interval,0.15,0.85,120,93,26,0.21666666666666667,26,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,94,26,0.0008783522153530456,49.20078608923701,76.13440502982172,0.0,0.0
VoltGuard topology-aware residual,topology_pv_loading_conditioned,conformal_interval,0.15,0.85,120,93,27,0.225,27,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,93,27,0.00036260586476376803,50.42924262818701,79.20554637719671,0.0,0.0
Boosting point + global conformal,global,conformal_interval,0.2,0.8,120,93,27,0.225,27,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,93,27,0.0007524699871404173,50.42924262818701,79.20554637719671,0.0,0.0
VoltGuard topology-aware residual,topology_pv_loading_conditioned,conformal_interval,0.2,0.8,120,93,27,0.225,27,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,93,27,0.00029211866092384355,50.42924262818701,79.20554637719671,0.0,0.0
