method,variant,protocol,alpha,nominal_coverage,test_scenarios,actual_risky_scenarios,released_scenarios,release_ratio,released_clean_scenarios,released_risky_scenarios,safe_release_precision,released_risky_share,released_violation_severity,released_severity_share,max_released_severity,released_bus_severity,released_bus_severity_share,released_violating_buses,flagged_for_ac,ac_calls_avoided,mean_interval_width,released_available_pv_mw,released_load_mw,released_risky_available_pv_mw,released_risky_load_mw,seed
LinDistFlow physical backbone,point_only,point_gate,,,120,93,29,0.24166666666666667,27,2,0.9310344827586207,0.021505376344086023,0.0012996498343910146,0.0006134377902894917,0.0009202685623123097,0.004197540841942793,0.0002511647241652436,6,91,29,0.0,54.168601852661894,85.4378117513215,3.739359224474874,6.232265374124789,7
Boosting point + global conformal,point_only,point_gate,,,120,93,27,0.225,27,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,93,27,0.0,50.42924262818701,79.20554637719671,0.0,0.0,7
VoltGuard topology-aware residual,point_only,point_gate,,,120,93,27,0.225,27,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,93,27,0.0,50.42924262818701,79.20554637719671,0.0,0.0,7
Boosting point + global conformal,global,conformal_interval,0.1,0.9,120,93,26,0.21666666666666667,26,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,94,26,0.0010963713147436201,49.20078608923701,76.13440502982172,0.0,0.0,7
VoltGuard topology-aware residual,topology_pv_loading_conditioned,conformal_interval,0.1,0.9,120,93,27,0.225,27,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,93,27,0.00045817743515701284,50.42924262818701,79.20554637719671,0.0,0.0,7
LinDistFlow physical backbone,point_only,point_gate,,,120,91,30,0.25,29,1,0.9666666666666667,0.01098901098901099,0.001485414522592765,0.0006605058521077634,0.001485414522592765,0.005012462762877146,0.0002954128995546385,4,90,30,0.0,66.00001758103363,99.29078409583083,2.8237333083875122,3.5296666354843893,17
Boosting point + global conformal,point_only,point_gate,,,120,91,29,0.24166666666666667,29,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,91,29,0.0,63.17628427264612,95.76111746034644,0.0,0.0,17
VoltGuard topology-aware residual,point_only,point_gate,,,120,91,29,0.24166666666666667,29,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,91,29,0.0,63.17628427264612,95.76111746034644,0.0,0.0,17
Boosting point + global conformal,global,conformal_interval,0.1,0.9,120,91,29,0.24166666666666667,29,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,91,29,0.0013510157269576112,63.17628427264612,95.76111746034644,0.0,0.0,17
VoltGuard topology-aware residual,topology_pv_loading_conditioned,conformal_interval,0.1,0.9,120,91,29,0.24166666666666667,29,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,91,29,0.000522051744970855,63.17628427264612,95.76111746034644,0.0,0.0,17
LinDistFlow physical backbone,point_only,point_gate,,,120,93,29,0.24166666666666667,27,2,0.9310344827586207,0.021505376344086023,0.0008523055258118362,0.0003984603225841967,0.0004729242537331313,0.0008523055258118362,5.5962927354352994e-05,2,91,29,0.0,66.41317358234572,95.9423396353609,4.681207198063921,6.62053193643799,42
Boosting point + global conformal,point_only,point_gate,,,120,93,27,0.225,27,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,93,27,0.0,61.73196638428178,89.32180769892291,0.0,0.0,42
VoltGuard topology-aware residual,point_only,point_gate,,,120,93,27,0.225,27,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,93,27,0.0,61.73196638428178,89.32180769892291,0.0,0.0,42
Boosting point + global conformal,global,conformal_interval,0.1,0.9,120,93,26,0.21666666666666667,26,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,94,26,0.0013747363161271888,59.39329007956815,85.42401385773353,0.0,0.0,42
VoltGuard topology-aware residual,topology_pv_loading_conditioned,conformal_interval,0.1,0.9,120,93,26,0.21666666666666667,26,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,94,26,0.0005551637895070262,59.39329007956815,85.42401385773353,0.0,0.0,42
