method,variant,policy_type,budget_fraction,test_scenarios,ac_calls,ac_calls_avoided,original_risky_scenarios,captured_risky_scenarios,risky_recall_under_budget,missed_risky_not_sent,severity_capture_under_budget,original_total_severity,post_policy_total_severity,severity_reduction_ratio,post_policy_violating_scenarios,post_policy_scenario_violation_rate,scenario_violation_reduction,scenario_violation_reduction_ratio,original_violating_buses,post_policy_violating_buses,bus_violation_reduction,bus_violation_reduction_ratio,available_pv_mw,accepted_pv_mw,curtailed_pv_mw,relieved_load_mw,action_cost_proxy_mw
Boosting point + global conformal,global,interval_risk_ranking,0.1,120.0,12.0,108.0,93.0,12.0,0.12903225806451613,81.0,0.2979183563363454,2.1186334701970146,1.9245424102287871,0.09161143855155782,93.0,0.775,0.0,0.0,921.0,902.0,19.0,0.02062975027144408,191.23095295448226,191.23095295448226,0.0,7.567691649376704,7.567691649376704
Boosting point + global conformal,global,interval_risk_ranking,0.2,120.0,24.0,96.0,93.0,24.0,0.25806451612903225,69.0,0.525869158005163,2.1186334701970146,1.6782009974659768,0.20788516698458528,93.0,0.775,0.0,0.0,921.0,848.0,73.0,0.07926167209554831,191.23095295448226,191.23095295448226,0.0,17.465089707191332,17.465089707191332
Boosting point + global conformal,global,interval_risk_ranking,0.3,120.0,36.0,84.0,93.0,36.0,0.3870967741935484,57.0,0.6954993226302291,2.1186334701970146,1.4404509979324578,0.3201037280891686,93.0,0.775,0.0,0.0,921.0,785.0,136.0,0.1476655808903366,191.23095295448226,191.23095295448226,0.0,27.218002207985883,27.218002207985883
Boosting point + global conformal,global,interval_risk_ranking,0.5,120.0,60.0,60.0,93.0,60.0,0.6451612903225806,33.0,0.9056744253840043,2.1186334701970146,1.0419177124546062,0.5082123797667952,84.0,0.7,9.0,0.0967741935483871,921.0,586.0,335.0,0.36373507057546145,191.23095295448226,191.23095295448226,0.0,45.05652436955859,45.05652436955859
Boosting point + global conformal,global,interval_risk_ranking,1.0,120.0,120.0,0.0,93.0,93.0,1.0,0.0,1.0,2.1186334701970146,0.8420763929775914,0.6025379543827911,51.0,0.425,42.0,0.45161290322580644,921.0,398.0,523.0,0.5678610206297503,191.23095295448226,191.23095295448226,0.0,59.14266215081935,59.14266215081935
Neural graph residual ablation,topology_conditioned,interval_risk_ranking,0.1,120.0,12.0,108.0,93.0,12.0,0.12903225806451613,81.0,0.29735440598864876,2.118633470197015,1.9252499266894056,0.0912774891117086,93.0,0.775,0.0,0.0,921.0,902.0,19.0,0.02062975027144408,191.23095295448226,191.23095295448226,0.0,7.538533905807292,7.538533905807292
Neural graph residual ablation,topology_conditioned,interval_risk_ranking,0.2,120.0,24.0,96.0,93.0,24.0,0.25806451612903225,69.0,0.5239674273780544,2.118633470197015,1.672178688394402,0.2107277110849648,93.0,0.775,0.0,0.0,921.0,834.0,87.0,0.09446254071661238,191.23095295448226,191.23095295448226,0.0,17.8136026577751,17.8136026577751
Neural graph residual ablation,topology_conditioned,interval_risk_ranking,0.3,120.0,36.0,84.0,93.0,36.0,0.3870967741935484,57.0,0.6922361280143327,2.118633470197015,1.4368958034973203,0.32178178825632303,92.0,0.7666666666666667,1.0,0.010752688172043012,921.0,768.0,153.0,0.16612377850162866,191.23095295448226,191.23095295448226,0.0,27.539964767779946,27.539964767779946
Neural graph residual ablation,topology_conditioned,interval_risk_ranking,0.5,120.0,60.0,60.0,93.0,60.0,0.6451612903225806,33.0,0.9043394051654029,2.118633470197015,1.0447461309731243,0.5068773595481942,84.0,0.7,9.0,0.0967741935483871,921.0,583.0,338.0,0.36699239956568946,191.23095295448226,191.23095295448226,0.0,44.81305254594959,44.81305254594959
Neural graph residual ablation,topology_conditioned,interval_risk_ranking,1.0,120.0,120.0,0.0,93.0,93.0,1.0,0.0,1.0,2.118633470197015,0.8420763929775914,0.6025379543827912,51.0,0.425,42.0,0.45161290322580644,921.0,398.0,523.0,0.5678610206297503,191.23095295448226,191.23095295448226,0.0,59.14266215081935,59.14266215081935
