method,variant,budget_fraction,runs,test_scenarios_mean,test_scenarios_std,test_scenarios_ci95,ac_calls_mean,ac_calls_std,ac_calls_ci95,ac_calls_avoided_mean,ac_calls_avoided_std,ac_calls_avoided_ci95,original_risky_scenarios_mean,original_risky_scenarios_std,original_risky_scenarios_ci95,captured_risky_scenarios_mean,captured_risky_scenarios_std,captured_risky_scenarios_ci95,risky_recall_under_budget_mean,risky_recall_under_budget_std,risky_recall_under_budget_ci95,missed_risky_not_sent_mean,missed_risky_not_sent_std,missed_risky_not_sent_ci95,severity_capture_under_budget_mean,severity_capture_under_budget_std,severity_capture_under_budget_ci95,original_total_severity_mean,original_total_severity_std,original_total_severity_ci95,post_policy_total_severity_mean,post_policy_total_severity_std,post_policy_total_severity_ci95,severity_reduction_ratio_mean,severity_reduction_ratio_std,severity_reduction_ratio_ci95,post_policy_violating_scenarios_mean,post_policy_violating_scenarios_std,post_policy_violating_scenarios_ci95,scenario_violation_reduction_ratio_mean,scenario_violation_reduction_ratio_std,scenario_violation_reduction_ratio_ci95,post_policy_violating_buses_mean,post_policy_violating_buses_std,post_policy_violating_buses_ci95,bus_violation_reduction_ratio_mean,bus_violation_reduction_ratio_std,bus_violation_reduction_ratio_ci95,accepted_pv_mw_mean,accepted_pv_mw_std,accepted_pv_mw_ci95,curtailed_pv_mw_mean,curtailed_pv_mw_std,curtailed_pv_mw_ci95,relieved_load_mw_mean,relieved_load_mw_std,relieved_load_mw_ci95,action_cost_proxy_mw_mean,action_cost_proxy_mw_std,action_cost_proxy_mw_ci95
LinDistFlow point-risk,point_ranking,0.1,3,120.0,0.0,0.0,12.0,0.0,0.0,108.0,0.0,0.0,92.33333333333333,1.1547005383792517,1.3066666666666669,12.0,0.0,0.0,0.12997754933238803,0.0016372925039053589,0.0018527708850289543,80.33333333333333,1.1547005383792517,1.3066666666666669,0.30424714304060146,0.0102780880066112,0.011630751479648416,2.168845035820295,0.07007708628617702,0.07929968827744392,2.0176473119949097,0.09289273069634407,0.10511802042365558,0.0699215833895523,0.01895539813117352,0.02145005225871394,92.33333333333333,1.1547005383792517,1.3066666666666669,0.0,0.0,0.0,846.3333333333334,58.70547958524258,66.43150390523392,0.01978734104662504,0.008064191844571885,0.00912549213123031,222.51707650286934,27.1471830486408,30.719929544110713,0.0,0.0,0.0,5.871163421615523,1.5146724007599504,1.714013175893194,5.871163421615523,1.5146724007599504,1.714013175893194
LinDistFlow point-risk,point_ranking,0.2,3,120.0,0.0,0.0,24.0,0.0,0.0,96.0,0.0,0.0,92.33333333333333,1.1547005383792517,1.3066666666666669,24.0,0.0,0.0,0.25995509866477606,0.0032745850078107178,0.0037055417700579086,68.33333333333333,1.1547005383792517,1.3066666666666669,0.5308432007283423,0.016481942281327128,0.0186510734732685,2.168845035820295,0.07007708628617702,0.07929968827744392,1.7624685876616166,0.09521473982846371,0.10774562111473607,0.18766542107270726,0.02295102490368009,0.02597152959638231,92.33333333333333,1.1547005383792517,1.3066666666666669,0.0,0.0,0.0,804.6666666666666,38.52704677669096,43.597457622103505,0.06704528031850537,0.025532290165138662,0.02889250621574607,222.51707650286934,27.1471830486408,30.719929544110713,0.0,0.0,0.0,16.11402868928302,1.7524810136729632,1.9831189545878354,16.11402868928302,1.7524810136729632,1.9831189545878354
LinDistFlow point-risk,point_ranking,0.3,3,120.0,0.0,0.0,36.0,0.0,0.0,84.0,0.0,0.0,92.33333333333333,1.1547005383792517,1.3066666666666669,36.0,0.0,0.0,0.38993264799716415,0.004911877511716061,0.005558312655086845,56.333333333333336,1.1547005383792517,1.3066666666666669,0.6957764856600069,0.0172493570311265,0.019519485013526947,2.168845035820295,0.07007708628617702,0.07929968827744392,1.5242603719662713,0.08715553965603141,0.09862577759228261,0.2975325830718393,0.019975512406021613,0.022604420231041884,92.33333333333333,1.1547005383792517,1.3066666666666669,0.0,0.0,0.0,739.3333333333334,46.52239604033023,52.645047039372834,0.14341288200065383,0.013341471564617683,0.015097296310466805,222.51707650286934,27.1471830486408,30.719929544110713,0.0,0.0,0.0,25.954008715158313,1.1258279964773998,1.2739943097817898,25.954008715158313,1.1258279964773998,1.2739943097817898
LinDistFlow point-risk,point_ranking,0.5,3,120.0,0.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0,92.33333333333333,1.1547005383792517,1.3066666666666669,60.0,0.0,0.0,0.6498877466619403,0.008186462519526778,0.009263854425144751,32.333333333333336,1.1547005383792517,1.3066666666666669,0.9075213799047502,0.0030801640271846883,0.0034855337192768324,2.168845035820295,0.07007708628617702,0.07929968827744392,1.1165857943570545,0.0698434573549155,0.07903531225378943,0.48541005601641846,0.019985654659974397,0.02261589727181955,82.0,2.6457513110645907,2.9939494540378155,0.1117413052896924,0.03388953516801766,0.03834961921385392,565.6666666666666,48.7886598845811,55.20956599881743,0.34511487695402865,0.02717854980015294,0.030755424364871824,222.51707650286934,27.1471830486408,30.719929544110713,0.0,0.0,0.0,44.439900548593755,0.7201928218428212,0.8149748983364025,44.439900548593755,0.7201928218428212,0.8149748983364025
LinDistFlow point-risk,point_ranking,1.0,3,120.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,92.33333333333333,1.1547005383792517,1.3066666666666669,92.33333333333333,1.1547005383792517,1.3066666666666669,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.168845035820295,0.07007708628617702,0.07929968827744392,0.9159551828303679,0.06558785963458262,0.07421965009457143,0.5778886761116682,0.021776608319307406,0.024642552123370787,49.666666666666664,3.214550253664318,3.6376060503822805,0.4618535586277521,0.03941322150112815,0.0446002587248811,381.3333333333333,34.19551627528576,38.69586943216435,0.5586477758094858,0.017192036015955793,0.019454620178590447,222.51707650286934,27.1471830486408,30.719929544110713,0.0,0.0,0.0,58.96208965203427,0.8418803195251168,0.9526772650424177,58.96208965203427,0.8418803195251168,0.9526772650424177
Oracle realized severity,oracle,0.1,3,120.0,0.0,0.0,12.0,0.0,0.0,108.0,0.0,0.0,92.33333333333333,1.1547005383792517,1.3066666666666669,12.0,0.0,0.0,0.12997754933238803,0.0016372925039053589,0.0018527708850289543,80.33333333333333,1.1547005383792517,1.3066666666666669,0.30424714304060146,0.0102780880066112,0.011630751479648416,2.168845035820295,0.07007708628617702,0.07929968827744392,2.0176473119949097,0.09289273069634407,0.10511802042365558,0.0699215833895523,0.01895539813117352,0.02145005225871394,92.33333333333333,1.1547005383792517,1.3066666666666669,0.0,0.0,0.0,846.3333333333334,58.70547958524258,66.43150390523392,0.01978734104662504,0.008064191844571885,0.00912549213123031,222.51707650286934,27.1471830486408,30.719929544110713,0.0,0.0,0.0,5.871163421615523,1.5146724007599504,1.714013175893194,5.871163421615523,1.5146724007599504,1.714013175893194
Oracle realized severity,oracle,0.2,3,120.0,0.0,0.0,24.0,0.0,0.0,96.0,0.0,0.0,92.33333333333333,1.1547005383792517,1.3066666666666669,24.0,0.0,0.0,0.25995509866477606,0.0032745850078107178,0.0037055417700579086,68.33333333333333,1.1547005383792517,1.3066666666666669,0.5308467249871288,0.01648034457774728,0.018649265501468355,2.168845035820295,0.07007708628617702,0.07929968827744392,1.7668970606207999,0.08847964856706098,0.10012414787927244,0.18557517138040383,0.019332401000917918,0.02187667116704503,92.33333333333333,1.1547005383792517,1.3066666666666669,0.0,0.0,0.0,807.6666666666666,42.665364563464514,48.280405042947926,0.06378795132827736,0.021653135267192185,0.024502829211613064,222.51707650286934,27.1471830486408,30.719929544110713,0.0,0.0,0.0,15.91895141288181,1.4325414234148142,1.621073225810312,15.91895141288181,1.4325414234148142,1.621073225810312
Oracle realized severity,oracle,0.3,3,120.0,0.0,0.0,36.0,0.0,0.0,84.0,0.0,0.0,92.33333333333333,1.1547005383792517,1.3066666666666669,36.0,0.0,0.0,0.38993264799716415,0.004911877511716061,0.005558312655086845,56.333333333333336,1.1547005383792517,1.3066666666666669,0.6958524491702022,0.017248027902400324,0.019517980962784367,2.168845035820295,0.07007708628617702,0.07929968827744392,1.524527395269202,0.08677076022171304,0.0981903586727172,0.29740654744241746,0.019761944373358684,0.02236274525119133,92.33333333333333,1.1547005383792517,1.3066666666666669,0.0,0.0,0.0,741.3333333333334,49.50084174368486,56.01547563942585,0.14124132934050182,0.012823295505321306,0.014510924899314933,222.51707650286934,27.1471830486408,30.719929544110713,0.0,0.0,0.0,25.942104026507753,1.105789987078282,1.251319167545404,25.942104026507753,1.105789987078282,1.251319167545404
Oracle realized severity,oracle,0.5,3,120.0,0.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0,92.33333333333333,1.1547005383792517,1.3066666666666669,60.0,0.0,0.0,0.6498877466619403,0.008186462519526778,0.009263854425144751,32.333333333333336,1.1547005383792517,1.3066666666666669,0.9076522176851455,0.0033013477685311095,0.0037358266847860124,2.168845035820295,0.07007708628617702,0.07929968827744392,1.1163059747758504,0.06978057163609269,0.07896415036387601,0.4855408937968137,0.019863697190195637,0.0224778894029269,82.0,2.6457513110645907,2.9939494540378155,0.1117413052896924,0.03388953516801766,0.03834961921385392,565.6666666666666,48.7886598845811,55.20956599881743,0.34511487695402865,0.02717854980015294,0.030755424364871824,222.51707650286934,27.1471830486408,30.719929544110713,0.0,0.0,0.0,44.55219888200002,0.6135449307263008,0.6942914485929298,44.55219888200002,0.6135449307263008,0.6942914485929298
Oracle realized severity,oracle,1.0,3,120.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,92.33333333333333,1.1547005383792517,1.3066666666666669,92.33333333333333,1.1547005383792517,1.3066666666666669,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.168845035820295,0.07007708628617702,0.07929968827744392,0.9159551828303679,0.06558785963458262,0.07421965009457143,0.5778886761116682,0.021776608319307406,0.024642552123370787,49.666666666666664,3.214550253664318,3.6376060503822805,0.4618535586277521,0.03941322150112815,0.0446002587248811,381.3333333333333,34.19551627528576,38.69586943216435,0.5586477758094858,0.017192036015955793,0.019454620178590447,222.51707650286934,27.1471830486408,30.719929544110713,0.0,0.0,0.0,58.96208965203427,0.8418803195251168,0.9526772650424177,58.96208965203427,0.8418803195251168,0.9526772650424177
