experiment,comparison,metric,direction,paired_units,delta_mean,delta_std,delta_ci95_low,delta_ci95_high,better_unit_fraction,all_units_better,delta_min,delta_max
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,rmse,lower_better,12,-0.0008480033019338,0.00038759485927236653,-0.0010689708056364907,-0.0006538621033080347,1.0,True,-0.0014568214526252,-0.00030008794289850004
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,avg_width,lower_better,12,-0.0006453947692970168,0.0001598061136180728,-0.0007336415191438342,-0.000561006619113192,1.0,True,-0.0008843016720523002,-0.0004319810672343999
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,recall,higher_better,12,0.0008923723053711937,0.000874414658227147,0.0004435677636961397,0.0013633108212932528,0.5833333333333334,False,0.0,0.0021715526601520097
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,false_alarm_rate,lower_better,12,-0.0008091006556580167,0.0008889792665145697,-0.0012518291265005918,-0.00029078181727414424,0.8333333333333334,False,-0.0019234468166955,0.0013348588863463
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,missed_violations,lower_better,12,-0.75,0.7537783614444091,-1.1666666666666667,-0.3333333333333333,0.5833333333333334,False,-2.0,0.0
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus random,severity_capture_under_budget,higher_better,3,0.1398170514656076,0.02964890587310185,0.11038074984417523,0.1696740836620503,1.0,True,0.11038074984417523,0.1696740836620503
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus random,severity_reduction_ratio,higher_better,3,0.0809429394818808,0.030031034271370608,0.0495120451970551,0.1093444885768368,1.0,True,0.0495120451970551,0.1093444885768368
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus random,post_policy_violating_scenarios,lower_better,3,2.531499999999999,1.5235927113241279,0.7729999999999961,3.4565000000000055,0.0,False,0.7729999999999961,3.4565000000000055
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus random,post_policy_violating_buses,lower_better,3,-115.24383333333333,24.640231458599025,-133.72749999999996,-87.2695,1.0,True,-133.72749999999996,-87.2695
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus random,action_cost_proxy_mw,lower_better,3,6.739130976458067,2.642999941455121,3.7573177199029253,8.793101515678073,0.0,False,3.7573177199029253,8.793101515678073
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus lindistflow,severity_capture_under_budget,higher_better,3,-0.1903603590346925,0.014645542311287537,-0.2064845616710892,-0.1778824365474445,0.0,False,-0.2064845616710892,-0.1778824365474445
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus lindistflow,severity_reduction_ratio,higher_better,3,0.009411428687905204,0.0179886704109355,-0.010906874920239285,0.023307847811652793,0.6666666666666666,False,-0.010906874920239285,0.023307847811652793
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus lindistflow,post_policy_violating_scenarios,lower_better,3,-6.0,1.0,-7.0,-5.0,1.0,True,-7.0,-5.0
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus lindistflow,post_policy_violating_buses,lower_better,3,-153.0,5.291502622129181,-157.0,-147.0,1.0,True,-157.0,-147.0
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus lindistflow,action_cost_proxy_mw,lower_better,3,2.4629014828359312,1.5897776516533741,0.8139825838479453,3.9860689043158626,0.0,False,0.8139825838479453,3.9860689043158626
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus oracle,severity_capture_under_budget,higher_better,3,-0.19036388329347897,0.014644227379699918,-0.2064845616710892,-0.1778824365474445,0.0,False,-0.2064845616710892,-0.1778824365474445
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus oracle,severity_reduction_ratio,higher_better,3,0.011501678380208638,0.019415708091242684,-0.010906874920239285,0.023307847811652793,0.6666666666666666,False,-0.010906874920239285,0.023307847811652793
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus oracle,post_policy_violating_scenarios,lower_better,3,-6.0,1.0,-7.0,-5.0,1.0,True,-7.0,-5.0
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus oracle,post_policy_violating_buses,lower_better,3,-156.0,9.539392014169456,-166.0,-147.0,1.0,True,-166.0,-147.0
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus oracle,action_cost_proxy_mw,lower_better,3,2.6579787592371393,1.6477718835469775,0.8139825838479453,3.9860689043158626,0.0,False,0.8139825838479453,3.9860689043158626
