experiment,comparison,metric,split_name,seed,delta,baseline_value,primary_value
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,rmse,random_interpolation,7,-0.0014514418281522,0.0004145545321376,0.0001144665892391
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,rmse,synthetic_time_block,7,-0.0014525333558309999,0.000906603014444,0.0001560953119917
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,rmse,pv_penetration_shift,7,-0.0014568214526252,0.0020699889694655,0.0006185471413133
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,rmse,topology_heldout_33_to_69,7,-0.00030008794289850004,0.0012270893807208,0.0006581546621348
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,rmse,random_interpolation,17,-0.0006476779113714,0.000844089656101,0.0001964117447296
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,rmse,synthetic_time_block,17,-0.0008247736833144,0.000892776158791,0.0001546905991091
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,rmse,pv_penetration_shift,17,-0.0007505077024523,0.0020711700080005,0.0006186366521695
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,rmse,topology_heldout_33_to_69,17,-0.0007380855596819,0.0012835936446998,0.0006702225264151
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,rmse,random_interpolation,42,-0.0007323770941844001,0.0010209630934479,0.0001961894101335
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,rmse,synthetic_time_block,42,-0.000568934718586,0.0008881124979115,0.0001557354037271
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,rmse,pv_penetration_shift,42,-0.0006133711182847,0.0020769658259833,0.0006201443733581
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,rmse,topology_heldout_33_to_69,42,-0.0006394272558235999,0.0013379582035514,0.0006985309477278
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,avg_width,random_interpolation,7,-0.00045116885261200005,0.0010963713147436,0.0004334041749204
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,avg_width,synthetic_time_block,7,-0.0004319810672343999,0.0010972853025266,0.0005088242854386
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,avg_width,pv_penetration_shift,7,-0.0004456689507262,0.001258530429616,0.000807361577004
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,avg_width,topology_heldout_33_to_69,7,-0.0006629671398231999,0.0028602742671657,0.0019759725951134
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,avg_width,random_interpolation,17,-0.0008502961148010999,0.0013510157269576,0.0005007196121565
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,avg_width,synthetic_time_block,17,-0.000825808344119,0.0010709494115714,0.0005059750052286
