transfer_direction,source_feeder,target_feeder,seed,method,variant,alpha,nominal_coverage,train_scenarios,calibration_scenarios,test_scenarios,mae,rmse,max_abs_error,coverage,avg_width,precision,recall,f1,false_alarm_rate,missed_violations,scenario_precision,scenario_recall,scenario_f1,scenario_false_alarm_rate,missed_risky_scenarios,screened_safe_scenarios,screened_safe_ratio,ac_optimization_calls_avoided,risky_scenario_recall,post_screening_violation_miss_rate,bus_violation_recall,bus_false_alarm_rate,missed_bus_violations,mean_interval_width
33_to_69,33,69,7,Boosting point + global conformal,global,0.1,0.9,300,120,180,0.0006030123458889379,0.0012234679145028638,0.021158514595684186,0.907085346215781,0.0028096000321749227,0.984399375975039,1.0,0.9921383647798742,0.001792435920415845,0,1.0,1.0,1.0,0.0,0,17,0.09444444444444444,17,1.0,0.0,1.0,0.001792435920415845,0,0.002809600032174923
33_to_69,33,69,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,300,120,180,0.0004541669023898972,0.0006581546621348429,0.0036601248648244766,0.9055555555555556,0.001975972595113499,0.9960536700868192,1.0,0.9980229339659945,0.0004481089801039613,0,1.0,1.0,1.0,0.0,0,17,0.09444444444444444,17,1.0,0.0,1.0,0.0004481089801039613,0,0.0019759725951134987
33_to_69,33,69,17,Boosting point + global conformal,global,0.1,0.9,300,120,180,0.0006145130046534656,0.001271800792799066,0.023637169734297858,0.8981481481481481,0.0027443256255099578,0.9830508474576272,1.0,0.9914529914529915,0.001974156496769562,0,1.0,1.0,1.0,0.0,0,14,0.07777777777777778,14,1.0,0.0,1.0,0.001974156496769562,0,0.0027443256255099578
33_to_69,33,69,17,VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,300,120,180,0.0004609676017237549,0.0006702225264151719,0.0037764363422911895,0.9046698872785829,0.002045606578195026,0.9945440374123149,1.0,0.9972645564673701,0.000628140703517588,0,1.0,1.0,1.0,0.0,0,14,0.07777777777777778,14,1.0,0.0,1.0,0.000628140703517588,0,0.0020456065781950263
33_to_69,33,69,42,Boosting point + global conformal,global,0.1,0.9,300,120,180,0.0006343367155552908,0.0013273504519765696,0.023637169734297858,0.886231884057971,0.0026442011627627335,0.9830899308224442,0.99921875,0.9910887253002713,0.0019748653500897668,1,1.0,1.0,1.0,0.0,0,16,0.08888888888888889,16,1.0,0.0,0.99921875,0.0019748653500897668,1,0.002644201162762734
33_to_69,33,69,42,VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,300,120,180,0.0004900284203636513,0.0006985309477278209,0.0037885969318358637,0.8947665056360709,0.002061685399603123,0.9907120743034056,1.0,0.995334370139969,0.0010771992818671453,0,1.0,1.0,1.0,0.0,0,16,0.08888888888888889,16,1.0,0.0,1.0,0.0010771992818671453,0,0.0020616853996031225
69_to_33,69,33,7,Boosting point + global conformal,global,0.1,0.9,300,120,180,0.0005161488923600351,0.0007357017162981057,0.00826768224532437,0.8996632996632996,0.002110172378267491,0.931454196028187,1.0,0.9645107794361526,0.023851983950066876,0,0.9448818897637795,1.0,0.97165991902834,0.11666666666666667,0,53,0.29444444444444445,53,1.0,0.0,1.0,0.023851983950066876,0,0.0021101723782674916
69_to_33,69,33,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,300,120,180,0.000543582695452933,0.0007280557952029905,0.002668818373124715,0.9146464646464646,0.002237816000819376,0.9362524146812621,1.0,0.9670768207515796,0.022068658047258136,0,0.96,1.0,0.9795918367346939,0.08333333333333333,0,55,0.3055555555555556,55,1.0,0.0,1.0,0.022068658047258136,0,0.002237816000819376
69_to_33,69,33,17,Boosting point + global conformal,global,0.1,0.9,300,120,180,0.000530587547126618,0.0007512754274124454,0.007518698344741281,0.8976430976430977,0.0022366053602922375,0.9256756756756757,1.0,0.9614035087719298,0.024070021881838075,0,0.9153846153846154,1.0,0.9558232931726908,0.18032786885245902,0,50,0.2777777777777778,50,1.0,0.0,1.0,0.024070021881838075,0,0.002236605360292237
69_to_33,69,33,17,VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,300,120,180,0.000526253347279901,0.000697880185983908,0.0034355292630829926,0.9176767676767676,0.0021606619008854027,0.9244264507422402,1.0,0.9607293127629734,0.02450765864332604,0,0.9224806201550387,1.0,0.9596774193548387,0.16393442622950818,0,51,0.2833333333333333,51,1.0,0.0,1.0,0.02450765864332604,0,0.0021606619008854027
69_to_33,69,33,42,Boosting point + global conformal,global,0.1,0.9,300,120,180,0.0005329687094312145,0.0007791958160887944,0.010068431457775029,0.8811447811447811,0.0020636708585870557,0.934560327198364,1.0,0.9661733615221987,0.021011162179908074,0,0.9291338582677166,1.0,0.963265306122449,0.14516129032258066,0,53,0.29444444444444445,53,1.0,0.0,1.0,0.021011162179908074,0,0.002063670858587056
69_to_33,69,33,42,VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,300,120,180,0.0005598630276228418,0.0007545024231745462,0.003602994701072726,0.8961279461279461,0.002154945302228641,0.9232323232323232,1.0,0.9600840336134454,0.02495075508864084,0,0.9147286821705426,1.0,0.9554655870445344,0.1774193548387097,0,51,0.2833333333333333,51,1.0,0.0,1.0,0.02495075508864084,0,0.0021549453022286407
